playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,deathDate,birthDate
aberscl01,1921,8,28,USA,IL,Chicago,1973,6,23,USA,CA,Vallejo,Cliff,Aberson,Clifford Alexander,200,72,R,R,7/18/1947,5/9/1949,aberc101,aberscl01,6/23/1973,8/28/1921
ablesha01,1883,10,4,USA,TX,Terrell,1951,2,8,USA,TX,San Antonio,Harry,Ables,Harry Terrell,200,74,R,L,9/2/1905,5/5/1911,ableh101,ablesha01,2/8/1951,1883-10-04
abnersh01,1966,6,17,USA,OH,Hamilton,,,,,,,Shawn,Abner,Shawn Wesley,190,73,R,R,9/8/1987,10/3/1992,abnes001,abnersh01,,6/17/1966
abramca01,1924,3,2,USA,PA,Philadelphia,1997,2,25,USA,FL,Fort Lauderdale,Cal,Abrams,Calvin Ross,185,72,L,L,4/19/1949,5/9/1956,abrac101,abramca01,2/25/1997,3/2/1924
abramcj01,2000,10,3,USA,GA,Alpharetta,,,,,,,CJ,Abrams,Paul Christopher,185,74,L,R,4/8/2022,10/4/2022,abrac001,abramcj01,,10/3/2000
abramge01,1897,11,9,USA,WA,Seattle,1986,12,5,USA,FL,Clearwater,George,Abrams,George Allen,170,69,R,R,4/19/1923,5/4/1923,abrag101,abramge01,12/5/1986,1897-11-09
abregjo01,1962,7,4,USA,TX,Corpus Christi,,,,,,,Johnny,Abrego,Johnny Ray,185,72,R,R,9/4/1985,10/3/1985,abrej001,abregjo01,,7/4/1962
abreujo01,1913,5,24,USA,CA,Oakland,1993,3,17,USA,CA,Hayward,Joe,Abreu,Joseph Lawrence,160,68,R,R,4/23/1942,7/11/1942,abrej101,abreujo01,3/17/1993,5/24/1913
abstebi01,1883,2,2,USA,MO,St. Louis,1940,4,8,USA,MO,St. Louis,Bill,Abstein,William Henry,185,72,R,R,9/25/1906,6/2/1910,abstb101,abstebi01,4/8/1940,1883-02-02
accarje01,1981,12,18,USA,AZ,Phoenix,,,,,,,Jeremy,Accardo,Jeremiah Lee,195,72,R,R,5/4/2005,9/27/2012,accaj001,accarje01,,12/18/1981
achteaj01,1988,8,27,USA,OH,Toledo,,,,,,,A. J.,Achter,Adam Joseph,215,77,R,R,9/3/2014,10/1/2016,achta001,achteaj01,,8/27/1988
ackerji01,1958,9,24,USA,TX,Freer,,,,,,,Jim,Acker,James Justin,210,74,R,R,4/7/1983,6/14/1992,ackej001,ackerji01,,9/24/1958
ackerto01,1930,3,7,USA,NJ,Paterson,2021,1,4,USA,PA,Narvon,Tom,Acker,Thomas James,215,76,R,R,4/20/1956,9/20/1959,acket101,ackerto01,1/4/2021,3/7/1930
ackledu01,1988,2,26,USA,NC,Winston-Salem,,,,,,,Dustin,Ackley,Dustin Michael,205,73,L,R,6/17/2011,5/29/2016,ackld001,ackledu01,,2/26/1988
acklefr01,1937,4,10,USA,WI,Hayward,2002,5,22,USA,MN,Duluth,Fritz,Ackley,Florian Frederick,202,73,L,R,9/21/1963,5/9/1964,acklf101,acklefr01,5/22/2002,4/10/1937
acrema01,1968,9,16,USA,CA,Concord,,,,,,,Mark,Acre,Mark Robert,235,80,R,R,5/13/1994,5/10/1997,acrem001,acrema01,,9/16/1968
adairbi99,1913,2,10,USA,AL,Mobile,2002,6,17,USA,AL,Bay Minette,Bill,Adair,Marion Danne,168,72,R,R,,,adaib801,adairbi99,6/17/2002,2/10/1913
adairje01,1936,12,17,USA,OK,Sand Springs,1987,5,31,USA,OK,Tulsa,Jerry,Adair,Kenneth Jerry,175,72,R,R,9/2/1958,5/3/1970,adaij101,adairje01,5/31/1987,12/17/1936
adairji01,1907,1,25,USA,TX,Waxahachie,1982,12,9,USA,TX,Farmers Branch,Jimmy,Adair,James Aubrey,154,70,R,R,8/24/1931,9/7/1931,adaij102,adairji01,12/9/1982,1/25/1907
adamja01,1991,8,4,USA,NE,Omaha,,,,,,,Jason,Adam,Jason Kendall,229,75,R,R,5/5/2018,9/28/2022,adamj002,adamja01,,8/4/1991
adamsac01,1910,3,2,USA,CA,Willows,2006,2,26,USA,GA,Albany,Ace,Adams,Ace Townsend,182,70,R,R,4/15/1941,4/24/1946,adama101,adamsac01,2/26/2006,3/2/1910
adamsau01,1986,8,19,USA,AL,Montgomery,,,,,,,Austin,Adams,Austin David,205,71,R,R,7/12/2014,7/6/2019,adama001,adamsau01,,8/19/1986
adamsau02,1991,5,5,USA,FL,Tampa,,,,,,,Austin,Adams,Austin Lance,220,75,R,R,7/15/2017,4/12/2022,adama002,adamsau02,,5/5/1991
adamsba01,1882,5,18,USA,IN,Tipton,1968,7,27,USA,MD,Silver Spring,Babe,Adams,Charles Benjamin,185,71,L,R,4/18/1906,8/11/1926,adamb104,adamsba01,7/27/1968,1882-05-18
adamsbe01,1891,6,21,USA,TX,Wharton,1940,6,24,USA,CA,Los Angeles,Bert,Adams,John Bertram,185,73,B,R,8/30/1910,9/28/1919,adamb106,adamsbe01,6/24/1940,1891-06-21
adamsbo01,1901,7,24,USA,MA,Holyoke,1996,10,17,USA,PA,Lemoyne,Bob,Adams,Robert Burnette,168,71,R,R,9/22/1925,9/23/1925,adamb107,adamsbo01,10/17/1996,7/24/1901
adamsbo02,1907,1,20,USA,AL,Birmingham,1970,3,6,USA,FL,Jacksonville,Bob,Adams,Robert Andrew,165,72,R,R,9/27/1931,9/17/1932,adamb102,adamsbo02,3/6/1970,1/20/1907
adamsbo03,1921,12,14,USA,CA,Tuolumne,1997,2,13,USA,WA,Gig Harbor,Bobby,Adams,Robert Henry,160,70,R,R,4/16/1946,4/22/1959,adamb103,adamsbo03,2/13/1997,12/14/1921
adamsbo04,1952,1,6,USA,PA,Pittsburgh,,,,,,,Bob,Adams,Robert Melvin,200,74,R,R,7/10/1977,9/29/1977,adamb105,adamsbo04,,1/6/1952
adamsbu01,1915,6,24,USA,CO,Trinidad,1990,9,1,USA,CA,Rancho Mirage,Buster,Adams,Elvin Clark,180,72,R,R,4/27/1939,9/21/1947,adamb101,adamsbu01,9/1/1990,6/24/1915
adamsch01,1994,8,10,USA,AZ,Scottsdale,,,,,,,Chance,Adams,Chance,215,73,R,R,8/4/2018,9/22/2020,adamc002,adamsch01,,8/10/1994
adamsda01,1887,6,19,USA,MO,St. Louis,1964,10,6,USA,MO,St. Louis,Dan,Adams,Daniel Leslie,165,71,R,R,5/22/1914,9/26/1915,adamd103,adamsda01,10/6/1964,1887-06-19
adamsda02,1987,5,15,USA,FL,Margate,,,,,,,David,Adams,David Lee,205,74,R,R,5/15/2013,9/29/2013,adamd001,adamsda02,,5/15/1987
adamsdi01,1920,4,8,USA,CA,Tuolumne,2016,9,14,USA,CA,Fallbrook,Dick,Adams,Richard Leroy,185,72,R,L,5/20/1947,9/28/1947,adamd102,adamsdi01,9/14/2016,4/8/1920
adamsdo01,1943,1,27,USA,WI,Blue River,,,,,,,Doug,Adams,Harold Douglas,185,75,L,R,9/8/1969,10/1/1969,adamd101,adamsdo01,,1/27/1943
adamsge01,1855,1,25,USA,MA,Worcester,1920,10,11,USA,WA,Clarkston,George,Adams,George Henry,175,66,R,R,1879-06-14,1879-06-21,adamg102,adamsge01,10/11/1920,1855-01-25
adamsgl01,1947,10,4,USA,MA,Northbridge,,,,,,,Glenn,Adams,Glenn Charles,180,73,L,R,5/4/1975,10/3/1982,adamg101,adamsgl01,,10/4/1947
adamshe01,1928,4,14,USA,CA,Hollywood,2012,2,1,USA,OK,Tulsa,Herb,Adams,Herbert Loren,160,69,L,L,9/17/1948,8/30/1950,adamh101,adamshe01,2/1/2012,4/14/1928
adamsji01,1868,,,USA,IL,East St. Louis,,,,,,,Jim,Adams,James J.,148,66,,R,1890-04-21,1890-04-21,adamj101,adamsji01,,
adamsjo01,1877,10,28,USA,IL,Cowden,1952,10,8,USA,MO,Bachelor,Joe,Adams,Joseph Edward,190,72,R,L,4/26/1902,4/26/1902,adamj102,adamsjo01,10/8/1952,1877-10-28
adamsjo02,1971,7,2,USA,CA,Lakewood,,,,,,,Joel,Adamson,Joel Lee,185,76,L,L,4/10/1996,4/26/1998,adamj001,adamsjo02,,7/2/1971
adamska01,1891,8,11,USA,GA,Columbus,1967,9,17,USA,WA,Everett,Karl,Adams,Karl Tutwiler,170,74,R,R,4/19/1914,9/23/1915,adamk101,adamska01,9/17/1967,1891-08-11
adamsla01,1989,11,13,USA,OK,Talihina,,,,,,,Lane,Adams,Lane Weston,190,76,R,R,9/1/2014,9/30/2018,adaml001,adamsla01,,11/13/1989
adamsma01,1988,8,31,USA,PA,Philipsburg,,,,,,,Matt,Adams,Matthew James,245,75,L,R,5/20/2012,7/24/2021,adamm002,adamsma01,,8/31/1988
adamsmi01,1947,9,13,USA,CA,San Diego,2022,5,7,USA,CO,Monument,Mike,Adamson,John Michael,185,74,R,R,7/1/1967,5/7/1969,adamm101,adamsmi01,5/7/2022,9/13/1947
adamsmi02,1948,7,24,USA,OH,Cincinnati,,,,,,,Mike,Adams,Robert Michael,180,69,R,R,9/10/1972,7/25/1978,adamm102,adamsmi02,,7/24/1948
adamsmi03,1978,7,29,USA,TX,Corpus Christi,,,,,,,Mike,Adams,Jon Michael,210,77,R,R,5/18/2004,9/18/2014,adamm001,adamsmi03,,7/29/1978
adamsre01,1921,10,7,USA,CA,Parlier,2017,1,18,USA,CA,Fresno,Red,Adams,Charles Dwight,185,72,R,R,5/5/1946,7/2/1946,adamr101,adamsre01,1/18/2017,10/7/1921
adamsri01,1878,12,24,USA,TX,Paris,1955,3,10,USA,TX,Paris,Rick,Adams,Reuben Alexander,165,72,L,L,7/13/1905,9/29/1905,adamr102,adamsri01,3/10/1955,1878-12-24
adamsri02,1959,1,21,USA,CA,Upland,2011,10,28,USA,CA,Rancho Cucamonga,Ricky,Adams,Ricky Lee,180,74,R,R,9/15/1982,10/5/1985,adamr001,adamsri02,10/28/2011,1/21/1959
adamsri03,1996,6,26,USA,CA,Encinitas,,,,,,,Riley,Adams,Riley Keaton,249,76,R,R,6/8/2021,10/4/2022,adamr004,adamsri03,,6/26/1996
adamsru01,1980,8,30,USA,NC,Laurinburg,,,,,,,Russ,Adams,Russ Moore,205,72,L,R,9/3/2004,6/30/2009,adamr002,adamsru01,,8/30/1980
adamsry01,1987,4,21,USA,LA,New Orleans,,,,,,,Ryan,Adams,Ryan Scott,185,71,R,R,5/20/2011,9/19/2011,adamr003,adamsry01,,4/21/1987
adamssp01,1894,8,26,USA,PA,Zerbe,1989,2,24,USA,PA,Pottsville,Sparky,Adams,Earl John,151,65,R,R,9/18/1922,9/30/1934,adams101,adamssp01,2/24/1989,1894-08-26
adamssp02,1898,6,21,USA,UT,Layton,1970,11,24,USA,UT,Salt Lake City,Spencer,Adams,Spencer Dewey,158,69,L,R,4/22/1923,10/2/1927,adams102,adamssp02,11/24/1970,1898-06-21
adamste01,1973,3,6,USA,AL,Mobile,,,,,,,Terry,Adams,Terry Wayne,180,75,R,R,8/10/1995,5/23/2005,adamt001,adamste01,,3/6/1973
adamswi01,1890,9,27,USA,PA,Clearfield,1937,6,18,USA,NY,Albany,Willie,Adams,James Irvin,180,76,R,R,6/30/1912,9/6/1919,adamw101,adamswi01,6/18/1937,1890-09-27
adamswi02,1972,10,8,USA,NM,Gallup,,,,,,,Willie,Adams,William Edward,215,79,R,R,6/11/1996,8/14/1997,adamw001,adamswi02,,10/8/1972
adcocjo01,1927,10,30,USA,LA,Coushatta,1999,5,3,USA,LA,Coushatta,Joe,Adcock,Joseph Wilbur,210,76,R,R,4/23/1950,10/1/1966,adcoj101,adcocjo01,5/3/1999,10/30/1927
adcocna01,1988,2,25,USA,KY,Elizabethtown,,,,,,,Nathan,Adcock,Nathan Masler,235,76,R,R,3/31/2011,7/26/2015,adcon001,adcocna01,,2/25/1988
addisbo01,1925,11,6,USA,OH,Mineral,2016,11,15,USA,OH,Mentor,Bob,Addis,Robert Gordon,175,72,L,R,9/1/1950,6/12/1953,addib101,addisbo01,11/15/2016,11/6/1925
adducji01,1959,8,9,USA,IL,Chicago,,,,,,,Jim,Adduci,James David,200,77,L,L,9/12/1983,7/26/1989,adduj001,adducji01,,8/9/1959
adelljo01,1999,4,8,USA,NC,Shelby,,,,,,,Jo,Adell,Jordon Scott,215,75,R,R,8/4/2020,10/5/2022,adelj001,adelljo01,,4/8/1999
adenhni01,1986,8,24,USA,MD,Silver Spring,2009,4,9,USA,CA,Orange,Nick,Adenhart,Nicholas James,185,75,R,R,5/1/2008,4/8/2009,adenn001,adenhni01,4/9/2009,8/24/1986
aderhmo01,1915,9,13,USA,NC,Mount Olive,1955,3,18,USA,FL,Sarasota,Morrie,Aderholt,Morris Woodrow,188,73,L,R,9/13/1939,9/30/1945,aderm101,aderhmo01,3/18/1955,9/13/1915
adkinde01,1918,5,11,USA,KS,Norcatur,1998,12,26,USA,CA,Santa Monica,Dewey,Adkins,John Dewey,195,74,R,R,9/19/1942,10/2/1949,adkid103,adkinde01,12/26/1998,5/11/1918
adkindi01,1920,3,3,USA,TX,Electra,1955,9,12,USA,TX,Electra,Dick,Adkins,Richard Earl,165,70,R,R,9/19/1942,9/20/1942,adkid101,adkindi01,9/12/1955,3/3/1920
adkindo01,1872,8,5,USA,WI,Troy,1934,2,21,USA,NC,Durham,Merle,Adkins,Merle Theron,220,70,R,R,6/24/1902,9/29/1903,adkid102,adkindo01,2/21/1934,1872-08-05
adkingr01,1897,6,29,USA,AR,Jacksonville,1966,3,31,USA,AR,Little Rock,Grady,Adkins,Grady Emmett,175,71,R,R,4/13/1928,10/5/1929,adkig101,adkingr01,3/31/1966,1897-06-29
adkinhe01,1874,1,19,USA,MO,Fulton,1953,1,2,USA,MO,Mexico,Harry,Atkinson,John Harry,,,,,1895-09-25,1895-09-25,adkih101,adkinhe01,1/2/1953,1874-01-19
adkinjo01,1977,8,30,USA,WV,Huntington,,,,,,,Jon,Adkins,Jonathan Scott,200,72,L,R,8/14/2003,9/27/2008,adkij001,adkinjo01,,8/30/1977
adkinst01,1964,10,26,USA,IL,Chicago,,,,,,,Steve,Adkins,Steven Thomas,210,78,R,L,9/12/1990,10/3/1990,adkis001,adkinst01,,10/26/1964
adlemti01,1987,11,13,USA,NY,Staten Island,,,,,,,Tim,Adleman,Timothy Max,225,77,R,R,5/1/2016,9/19/2017,adlet001,adlemti01,,11/13/1987
adlesda01,1943,7,15,USA,CA,Long Beach,2016,2,15,USA,CA,Long Beach,Dave,Adlesh,David George,187,72,R,R,5/12/1963,9/28/1968,adled101,adlesda01,2/15/2016,7/15/1943
afenitr01,1963,9,21,USA,CA,Escondido,,,,,,,Troy,Afenir,Michael Troy,185,76,R,R,9/14/1987,7/10/1992,afent001,afenitr01,,9/21/1963
affelje01,1979,6,6,USA,AZ,Phoenix,,,,,,,Jeremy,Affeldt,Jeremy David,225,76,L,L,4/6/2002,10/4/2015,affej001,affelje01,,6/6/1979
agbaybe01,1971,12,28,USA,HI,Honolulu,,,,,,,Benny,Agbayani,Benny Peter,225,72,R,R,6/17/1998,9/29/2002,agbab001,agbaybe01,,12/28/1971
ageeto01,1942,8,9,USA,AL,Magnolia,2001,1,22,USA,NY,New York,Tommie,Agee,Tommie Lee,195,71,R,R,9/14/1962,9/30/1973,ageet101,ageeto01,1/22/2001,8/9/1942
agganha01,1929,4,20,USA,MA,Lynn,1955,6,27,USA,MA,Cambridge,Harry,Agganis,Harry,200,74,L,L,4/13/1954,6/2/1955,aggah101,agganha01,6/27/1955,4/20/1929
aglerjo01,1887,6,12,USA,OH,Coshocton,1971,4,26,USA,OH,Massillon,Joe,Agler,Joseph Abram,165,71,L,L,10/1/1912,10/2/1915,aglej101,aglerjo01,4/26/1971,1887-06-12
agnewsa01,1887,4,12,USA,MO,Farmington,1951,7,19,USA,CA,Sonoma,Sam,Agnew,Samuel Lester,185,71,R,R,4/10/1913,9/28/1919,agnes101,agnewsa01,7/19/1951,1887-04-12
aguilch01,1979,2,23,USA,CA,Redwood City,,,,,,,Chris,Aguila,Christopher Louis,200,71,R,R,6/28/2004,7/10/2008,aguic001,aguilch01,,2/23/1979
aguilri01,1961,12,31,USA,CA,San Gabriel,,,,,,,Rick,Aguilera,Richard Warren,195,76,R,R,6/12/1985,9/6/2000,aguir001,aguilri01,,12/31/1961
aguilry01,1994,9,11,USA,CA,Yorba Linda,,,,,,,Ryan,Aguilar,Ryan Scott,168,74,L,L,8/26/2022,9/5/2022,aguir002,aguilry01,,9/11/1994
aguirha01,1931,1,31,USA,CA,Azusa,1994,9,5,USA,MI,Bloomfield Hills,Hank,Aguirre,Henry John,205,76,R,L,9/10/1955,6/24/1970,aguih101,aguirha01,9/5/1994,1/31/1931
ahearch01,1858,,,USA,NY,Troy,1919,4,28,USA,NY,Troy,Bill,Ahearn,William H.,,,,,1880-06-19,1880-06-19,aheac101,ahearch01,4/28/1919,
ahearpa01,1969,12,10,USA,CA,San Francisco,,,,,,,Pat,Ahearne,Patrick Howard,195,75,R,R,6/14/1995,6/30/1995,aheap001,ahearpa01,,12/10/1969
ahmedni01,1990,3,15,USA,MA,East Longmeadow,,,,,,,Nick,Ahmed,Nicholas Mark,201,74,R,R,6/29/2014,5/15/2022,ahmen001,ahmedni01,,3/15/1990
aikenwi01,1954,10,14,USA,SC,Seneca,,,,,,,Willie,Aikens,Willie Mays,220,75,L,R,5/17/1977,4/27/1985,aikew001,aikenwi01,,10/14/1954
aingeda01,1959,3,17,USA,OR,Eugene,,,,,,,Danny,Ainge,Daniel Ray,175,76,R,R,5/21/1979,9/22/1981,aingd101,aingeda01,,3/17/1959
ainswku01,1978,9,9,USA,LA,Baton Rouge,,,,,,,Kurt,Ainsworth,Kurt Harold,192,75,R,R,9/5/2001,5/14/2004,ainsk001,ainswku01,,9/9/1978
aitchra01,1887,12,5,USA,SD,Tyndall,1958,9,26,USA,KS,Columbus,Raleigh,Aitchison,Raleigh Leonidas,175,71,R,L,4/19/1911,6/20/1915,aitcr101,aitchra01,9/26/1958,1887-12-05
aitonge01,1890,12,29,USA,KS,Kingman,1976,8,16,USA,CA,North Hollywood,George,Aiton,George Wilson,175,71,B,R,6/29/1912,7/28/1912,aitog101,aitonge01,8/16/1976,1890-12-29
akejo01,1861,8,29,USA,PA,Altoona,1887,5,11,USA,WI,La Crosse,John,Ake,John Leckie,180,73,R,R,1884-05-12,1884-07-15,ake-j101,akejo01,1887-05-11,1861-08-29
akerfda01,1962,6,12,USA,CO,Denver,2012,6,24,USA,AZ,Phoenix,Darrel,Akerfelds,Darrel Wayne,210,74,R,R,8/1/1986,7/2/1991,akerd001,akerfda01,6/24/2012,6/12/1962
akerja01,1940,7,13,USA,CA,Tulare,,,,,,,Jack,Aker,Jackie Delane,190,74,R,R,5/3/1964,9/27/1974,akerj102,akerja01,,7/13/1940
akersbi01,1904,12,25,USA,TN,Chattanooga,1962,4,13,USA,TN,Chattanooga,Bill,Akers,William G.,178,71,R,R,9/8/1929,7/27/1932,akerb101,akersbi01,4/13/1962,12/25/1904
akersje01,1887,11,1,USA,IN,Shelbyville,1979,5,15,USA,FL,Bay Pines,Jerry,Akers,Albert Earl,175,71,R,R,5/4/1912,5/25/1912,akerj101,akersje01,5/15/1979,1887-11-01
akinke01,1995,4,1,USA,MI,Alma,,,,,,,Keegan,Akin,Keegan Lee,235,71,L,L,8/14/2020,10/5/2022,akink001,akinke01,,4/1/1995
alanirj01,1991,6,14,USA,TX,McAllen,,,,,,,R. J.,Alaniz,Ruben,220,76,R,R,4/12/2019,7/23/2021,alanr001,alanirj01,,6/14/1991
albanjo01,1933,6,26,USA,NY,New York,2000,6,17,USA,NY,New York,Joe,Albanese,Joseph Peter,215,75,R,R,7/18/1958,9/9/1958,albaj101,albanjo01,6/17/2000,6/26/1933
alberbu01,1950,5,4,USA,PA,Williamsport,,,,,,,Butch,Alberts,Francis Burt,205,74,R,R,9/7/1978,9/28/1978,albeb101,alberbu01,,5/4/1950
albercy01,1882,1,14,USA,MI,Grand Rapids,1917,8,27,USA,IN,Fort Wayne,Cy,Alberts,Frederick Joseph,230,72,R,R,9/17/1910,10/12/1910,albec101,albercy01,8/27/1917,1882-01-14
albergu01,1860,9,,USA,PA,Reading,1912,5,7,USA,CO,Idaho Springs,Gus,Alberts,Augustus Peter,180,66,R,R,1884-05-01,1891-09-22,albeg101,albergu01,5/7/1912,
alberma01,1983,1,20,USA,TX,Houston,,,,,,,Matt,Albers,Matthew James,225,73,L,R,7/25/2006,9/28/2019,albem001,alberma01,,1/20/1983
albosed01,1918,10,27,USA,MI,Saginaw,2003,1,7,USA,MI,Saginaw,Ed,Albosta,Edward John,175,73,R,R,9/3/1941,9/24/1946,alboe101,albosed01,1/7/2003,10/27/1918
albreed01,1929,2,28,USA,MO,St. Louis,1979,12,29,USA,IL,Centreville,Ed,Albrecht,Edward Arthur,165,70,R,R,10/2/1949,4/26/1950,albre101,albreed01,12/29/1979,2/28/1929
albrija01,1921,6,30,USA,FL,St. Petersburg,1991,7,22,USA,CA,San Diego,Jack,Albright,Harold John,175,69,R,R,5/19/1947,7/27/1947,albrj101,albrija01,7/22/1991,6/30/1921
alburvi01,1947,5,12,USA,FL,Key West,2017,4,18,USA,FL,Tampa,Vic,Albury,Victor,190,72,L,L,8/7/1973,9/26/1976,albuv101,alburvi01,4/18/2017,5/12/1947
alcocsc01,1885,11,29,USA,OH,Wooster,1973,1,30,USA,OH,Wooster,Scotty,Alcock,John Forbes,160,69,R,R,4/19/1914,8/2/1914,alcos101,alcocsc01,1/30/1973,1885-11-29
alderda01,1918,3,9,USA,NE,Belden,1982,2,12,USA,CA,Garden Grove,Dale,Alderson,Dale Leonard,190,70,R,R,9/18/1943,7/5/1944,alded101,alderda01,2/12/1982,3/9/1918
aldremi01,1961,1,29,USA,CA,Carmel,,,,,,,Mike,Aldrete,Michael Peter,180,71,L,L,5/28/1986,9/29/1996,aldrm001,aldremi01,,1/29/1961
aldresc01,1968,6,12,USA,MI,Flint,,,,,,,Scott,Aldred,Scott Phillip,195,76,L,L,9/9/1990,5/29/2000,aldrs001,aldresc01,,6/12/1968
