playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,meFirst,meLast,meGiven,weight,height,bats,throws,debut,filGame,retroID,bbrefID,deathDate,birthDate
addybo01,1842,2,,CAN,ON,Port Hope,1910,4,9,USA,ID,Pocatello,Bob,Addy,Robert Edward,160,68,L,L,1871-05-06,1877-10-06,addyb101,addybo01,4/9/1910,
adonjo01,1998,8,12,D.R.,Distrito ciol,Santo Domingo,,,,,,,Joan,Adon,Joan Manuel,246,74,R,R,10/3/2021,7/7/2022,adonj001,adonjo01,,8/12/1998
adriaeh01,1989,8,21,Venezuela,Miranda,Guares,,,,,,,Ehire,Adrianza,Ehire Enrique,198,73,B,R,9/8/2013,10/5/2022,adrie001,adriaeh01,,8/21/1989
agostju01,1958,2,23,P.R.,,Rio Piedras,,,,,,,Juan,Agosto,Juan Roberto,190,74,L,L,9/7/1981,6/19/1993,agosj001,agostju01,,2/23/1958
agrazda01,1994,12,28,Pama,Cocle,Aguadulce,,,,,,,Dario,Agrazal,Dario Abdiel,225,74,R,R,6/15/2019,9/25/2019,agrad001,agrazda01,,12/28/1994
aguaylu01,1959,3,13,P.R.,,Vega Baja,,,,,,,Luis,Aguayo,Luis,173,69,R,R,4/19/1980,9/30/1989,agual001,aguaylu01,,3/13/1959
aguilje01,1990,6,30,Venezuela,Aragua,Maracay,,,,,,,Jesus,Aguilar,Jesus Alexander,277,75,R,R,5/15/2014,10/5/2022,aguij001,aguilje01,,6/30/1990
aguilmi01,1991,9,26,Mexico,Sonora,Ciudad Obregon,,,,,,,Miguel,Aguilar,Miguel Armando,194,68,L,L,7/30/2021,9/12/2021,aguim001,aguilmi01,,9/26/1991
ainsmed01,1890,2,4,Russia,,,1981,9,6,USA,FL,Fort Lauderdale,Eddie,Ainsmith,Edward Wilbur,180,71,R,R,8/9/1910,7/21/1924,ainse101,ainsmed01,9/6/1981,1890-02-04
akiyash01,1988,4,16,Japan,Kagawa,Yokosuka,,,,,,,Shogo,Akiyama,Shogo,182,72,L,R,7/24/2020,9/16/2021,akiys001,akiyash01,,4/16/1988
albagi01,1960,1,18,D.R.,Santiago,Santiago,,,,,,,Gibson,Alba,Gibson Alberto,160,74,L,L,5/3/1988,5/8/1988,albag001,albagi01,,1/18/1960
albaljo01,1982,10,30,P.R.,,San Juan,,,,,,,Jothan,Albaladejo,Jothan,270,77,R,R,9/5/2007,7/20/2012,albaj001,albaljo01,,10/30/1982
alberan01,1985,10,6,CAN,SK,North Battleford,,,,,,,Andrew,Albers,Andrew William,200,73,R,L,8/6/2013,9/15/2021,albea001,alberan01,,10/6/1985
alberha01,1992,10,17,D.R.,Duarte,San Francisco de Macoris,,,,,,,Hanser,Alberto,Hanser Joel,215,71,R,R,5/29/2015,10/5/2022,albeh001,alberha01,,10/17/1992
alberjo01,1969,6,29,P.R.,,San Juan,,,,,,,Jose,Alberro,Jose Edgardo,190,74,R,R,4/27/1995,8/5/1997,albej001,alberjo01,,6/29/1969
albieoz01,1997,1,7,Curacao,,Willemstad,,,,,,,Ozzie,Albies,Ozhaino Jurdy Jiandro,165,68,B,R,8/1/2017,9/17/2022,albio001,albieoz01,,1/7/1997
albural01,1986,6,10,D.R.,San Pedro de Macoris,San Pedro de Macoris,,,,,,,Al,Alburquerque,Alberto Jose,195,72,R,R,4/15/2011,9/30/2017,albua001,albural01,,6/10/1986
alcaljo01,1995,7,28,D.R.,San Cristobal,Bajos de Hai,,,,,,,Jorge,Alcala,Jorge Luis,205,75,R,R,9/21/2019,4/10/2022,alcaj001,alcaljo01,,7/28/1995
alcalsa01,1952,12,23,D.R.,San Pedro de Macoris,San Pedro de Macoris,,,,,,,Santo,Alcala,Santo,195,77,R,R,4/10/1976,9/25/1977,alcas101,alcalsa01,,12/23/1952
alcar01,1991,10,29,D.R.,Distrito ciol,Santo Domingo,,,,,,,Arismendy,Alcantara,Arismendy,170,70,B,R,7/9/2014,8/9/2017,alcaa001,alcar01,,10/29/1991
alcanis01,1973,5,6,D.R.,Peravia,Bani,,,,,,,Israel,Alcantara,Israel,180,74,R,R,6/25/2000,8/22/2002,alcai001,alcanis01,,5/6/1973
alcanra01,1992,12,4,D.R.,Baraho,Baraho,,,,,,,Raul,Alcantara,Raul,220,76,R,R,9/5/2016,9/29/2017,alcar001,alcanra01,,12/4/1992
alcansa01,1995,9,7,D.R.,Azua,Azua,,,,,,,Sandy,Alcantara,Sandy,200,77,R,R,9/3/2017,9/30/2022,alcas001,alcansa01,,9/7/1995
alcanse01,1996,7,10,D.R.,Santo Domingo,Santo Domingo Este,,,,,,,Sergio,Alcantara,Sergio Junior,151,69,B,R,9/6/2020,10/5/2022,alcas002,alcanse01,,7/10/1996
alcanvi01,1993,4,3,D.R.,Distrito ciol,Santo Domingo,,,,,,,Victor,Alcantara,Victor Alfonso,190,74,R,R,9/5/2017,9/29/2019,alcav001,alcanvi01,,4/3/1993
alcarlu01,1941,6,20,P.R.,,Humacao,,,,,,,Luis,Alcaraz,Angel Luis,165,69,R,R,9/13/1967,6/7/1970,alcal101,alcarlu01,,6/20/1941
alexabo01,1922,8,7,CAN,BC,Vancouver,1993,4,7,USA,CA,Oceanside,Bob,Alexander,Robert Somerville,205,74,R,R,4/11/1955,9/22/1957,alexb101,alexabo01,4/7/1993,8/7/1922
alexama02,1971,3,20,D.R.,San Pedro de Macoris,San Pedro de Macoris,,,,,,,Manny,Alexander,Manuel de Jesus,150,70,R,R,9/18/1992,9/28/2006,alexm001,alexama02,,3/20/1971
alfarjo01,1993,6,11,Colombia,Sucre,Sincelejo,,,,,,,Jorge,Alfaro,Jorge Mario,230,75,R,R,9/12/2016,10/5/2022,alfaj002,alfarjo01,,6/11/1993
alfon01,1972,4,16,D.R.,La Roma,La Roma,,,,,,,Antonio,Alfonseca,Antonio,250,77,R,R,6/17/1997,9/23/2007,alfoa001,alfon01,,4/16/1972
alfoned01,1973,11,8,Venezuela,Miranda,Santa Teresa del Tuy,,,,,,,Edgardo,Alfonzo,Edgardo Antonio,210,71,R,R,4/26/1995,6/11/2006,alfoe001,alfoned01,,11/8/1973
alfonel01,1979,2,7,Venezuela,Anzoategui,Puerto La Cruz,,,,,,,Eliezer,Alfonzo,Eliezer Jesus,220,71,R,R,6/3/2006,9/13/2011,alfoe002,alfonel01,,2/7/1979
alicelu01,1965,7,29,P.R.,,Santurce,,,,,,,Luis,Alicea,Luis Rene,165,69,B,R,4/23/1988,9/25/2002,alicl001,alicelu01,,7/29/1965
almadme01,1913,2,7,Mexico,Sonora,Huatabampo,1988,8,13,Mexico,Sonora,Caborca,Mel,Almada,Baldomero Melo,170,72,L,L,9/8/1933,10/1/1939,almam101,almadme01,8/13/1988,2/7/1913
almanca01,1973,11,6,D.R.,Santiago,Santiago,,,,,,,Carlos,Almanzar,Carlos Manuel,166,74,R,R,9/4/1997,4/30/2005,almac001,almanca01,,11/6/1973
almeira01,1887,6,30,Cuba,La Haba,La Haba,1969,3,18,Cuba,La Haba,La Haba,Rafael,Almeida,Rafael D.,164,69,R,R,7/4/1911,7/18/1913,almer101,almeira01,3/18/1969,1887-06-30
almob01,1989,6,27,D.R.,Distrito ciol,Santo Domingo,,,,,,,Abraham,Almonte,Abraham,223,70,B,R,8/30/2013,10/5/2022,almoa001,almob01,,6/27/1989
almoned01,1976,12,17,D.R.,Santiago,Santiago,,,,,,,Edwin,Almonte,Edwin,200,75,R,R,7/7/2003,9/10/2003,almoe002,almoned01,,12/17/1976
almoner01,1978,2,1,D.R.,Distrito ciol,Santo Domingo,,,,,,,Erick,Almonte,Erick R.,245,74,R,R,9/4/2001,4/25/2011,almoe001,almoner01,,2/1/1978
almonhe01,1975,10,17,D.R.,Distrito ciol,Santo Domingo,,,,,,,Hector,Almonte,Hector Radhames,190,74,R,R,7/26/1999,9/28/2003,almoh001,almonhe01,,10/17/1975
almonmi01,1993,4,4,D.R.,Santiago,Santiago,,,,,,,Miguel,Almonte,Miguel Emilio,210,73,R,R,9/1/2015,9/29/2018,almom001,almonmi01,,4/4/1993
almonzo01,1989,6,10,D.R.,Distrito ciol,Santo Domingo,,,,,,,Zoilo,Almonte,Zoilo Manuel,205,72,B,R,6/19/2013,7/30/2014,almoz001,almonzo01,,6/10/1989
alomalu01,1923,6,19,Cuba,La Haba,La Haba,1997,4,7,USA,IL,Park Ridge,Luis,Aloma,Luis,195,74,R,R,4/19/1950,8/30/1953,aloml101,alomalu01,4/7/1997,6/19/1923
alomaro01,1968,2,5,P.R.,,Ponce,,,,,,,Roberto,Alomar,Roberto,184,72,B,R,4/22/1988,9/5/2004,alomr001,alomaro01,,2/5/1968
alomasa01,1943,10,19,P.R.,,Salis,,,,,,,Sandy,Alomar,Santos,140,69,B,R,9/15/1964,9/30/1978,aloms101,alomasa01,,10/19/1943
alomasa02,1966,6,18,P.R.,,Salis,,,,,,,Sandy,Alomar,Santos,200,77,R,R,9/30/1988,9/30/2007,aloms001,alomasa02,,6/18/1966
alonsyo01,1987,4,8,Cuba,La Haba,La Haba,,,,,,,Yonder,Alonso,Yonder,230,73,L,R,9/1/2010,9/29/2019,alony001,alonsyo01,,4/8/1987
aloufe01,1935,5,12,D.R.,San Cristobal,Bajos de Hai,,,,,,,Felipe,Alou,Felipe Rojas,195,72,R,R,6/8/1958,4/24/1974,alouf101,aloufe01,,5/12/1935
alouje01,1942,3,24,D.R.,San Cristobal,Bajos de Hai,,,,,,,Jesus,Alou,Jesus Maria Rojas,190,74,R,R,9/10/1963,9/29/1979,alouj101,alouje01,,3/24/1942
alouma01,1938,12,22,D.R.,San Cristobal,Bajos de Hai,2011,11,3,D.R.,Distrito ciol,Santo Domingo,Matty,Alou,Mateo Rojas,160,69,L,L,9/26/1960,6/21/1974,aloum101,alouma01,11/3/2011,12/22/1938
altampo01,1952,5,17,Nicaragua,Matagalpa,Ciudad Dario,,,,,,,Porfi,Altamirano,Porfirio,175,72,R,R,5/9/1982,6/8/1984,altap001,altampo01,,5/17/1952
altheaa01,1991,1,14,Germany,Rhineland-Palatite,Landstuhl,,,,,,,Aaron,Altherr,Aaron Samuel,215,77,R,R,6/16/2014,8/23/2019,altha001,altheaa01,,1/14/1991
altuvjo01,1990,5,6,Venezuela,Carabobo,Puerto Cabello,,,,,,,Jose,Altuve,Jose Carlos,166,66,R,R,7/20/2011,10/4/2022,altuj001,altuvjo01,,5/6/1990
alvarcl01,1968,5,18,Venezuela,Anzoategui,Guanta,,,,,,,Clemente,Alvarez,Clemente Rafael,180,71,R,R,9/19/2000,10/1/2000,alvac001,alvarcl01,,5/18/1968
alvarda01,1989,1,17,D.R.,Santiago,Santiago,,,,,,,Dario,Alvarez,Dario Rafael,170,73,L,L,9/3/2014,6/28/2017,alvad001,alvarda01,,1/17/1989
alvarda02,1988,11,7,Cuba,,Camaguey,,,,,,,Dariel,Alvarez,Dariel,180,74,R,R,8/28/2015,7/25/2016,alvad002,alvarda02,,11/7/1988
alvarfr01,2001,11,19,Venezuela,Miranda,Guatire,,,,,,,Francisco,Alvarez,Francisco Javier,242,70,R,R,9/30/2022,10/5/2022,alvaf001,alvarfr01,,11/19/2001
alvarga01,1974,3,6,Mexico,Sonora,vojoa,,,,,,,Gabe,Alvarez,Gabriel de Jesus,185,73,R,R,6/22/1998,9/30/2000,alvag001,alvarga01,,3/6/1974
alvarhe01,1990,4,18,Venezuela,Carabobo,Valencia,,,,,,,Henderson,Alvarez,Henderson Javier,205,72,R,R,8/10/2011,9/30/2017,alvah001,alvarhe01,,4/18/1990
alvarjo02,1989,5,6,Venezuela,Anzoategui,Barcelo,,,,,,,Jose,Alvarez,Jose Ricardo,195,71,L,L,6/9/2013,6/11/2022,alvaj003,alvarjo02,,5/6/1989
alvarjo03,1995,5,21,Venezuela,Zulia,Maracaibo,,,,,,,Jose,Alvarado,Jose Antonio,240,72,L,L,5/3/2017,10/3/2022,alvaj004,alvarjo03,,5/21/1995
alvarlu01,1949,1,15,P.R.,,Lajas,2001,3,20,P.R.,,Lajas,Luis,Alvarado,Luis Cesar,162,69,R,R,9/13/1968,4/30/1977,alval101,alvarlu01,3/20/2001,1/15/1949
alvaror01,1952,2,28,P.R.,,Rio Grande,2016,3,31,P.R.,,Rio Grande,Orlando,Alvarez,Jesus Manuel Orlando,165,72,R,R,9/1/1973,6/18/1976,alvao102,alvaror01,3/31/2016,2/28/1952
alvaros01,1933,10,19,Cuba,Matanzas,Bolondron,2008,3,8,Mexico,Jalisco,Guadalajara,Ossie,Alvarez,Oswaldo,165,70,R,R,4/19/1958,4/26/1959,alvao101,alvaros01,3/8/2008,10/19/1933
alvarpe01,1987,2,6,D.R.,Distrito ciol,Santo Domingo,,,,,,,Pedro,Alvarez,Pedro Manuel,250,75,L,R,6/16/2010,6/15/2018,alvap001,alvarpe01,,2/6/1987
alvarro01,1938,4,18,Cuba,Pir del Rio,Pir del Rio,2012,11,30,USA,FL,Hialeah,Rogelio,Alvarez,Rogelio,183,71,R,R,9/18/1960,9/28/1962,alvar101,alvarro01,11/30/2012,4/18/1938
alvarta01,1971,11,25,Mexico,Sonora,Ciudad Obregon,,,,,,,Tavo,Alvarez,Cesar Octavio,245,75,R,R,8/21/1995,9/29/1996,alvat001,alvarta01,,11/25/1971
alvarto01,1979,5,10,Venezuela,Distrito Federal,Caracas,,,,,,,Tony,Alvarez,Antonio Enrique,200,73,R,R,9/4/2002,10/3/2004,alvat002,alvarto01,,5/10/1979
alvarvi01,1976,11,8,Mexico,Siloa,Culiacan,,,,,,,Victor,Alvarez,Victor Aurelio,150,70,L,L,7/30/2002,8/26/2003,alvav001,alvarvi01,,11/8/1976
alvarwi01,1970,3,24,Venezuela,Zulia,Maracaibo,,,,,,,Wilson,Alvarez,Wilson Eduardo,175,73,L,L,7/24/1989,9/28/2005,alvaw001,alvarwi01,,3/24/1970
alvaryo01,1997,6,27,Cuba,,Las Tus,,,,,,,Yordan,Alvarez,Yordan Ruben,225,77,L,R,6/9/2019,10/5/2022,alvay001,alvaryo01,,6/27/1997
alzolad01,1995,3,1,Venezuela,Bolivar,San Felix,,,,,,,Adbert,Alzolay,Adbert Marcelo,208,73,R,R,6/20/2019,10/5/2022,alzoa001,alzolad01,,3/1/1995
amarial01,1989,4,6,Venezuela,Anzoategui,Barcelo,,,,,,,Alexi,Amarista,Alexi Jose,160,66,L,R,4/26/2011,10/1/2017,amara001,amarial01,,4/6/1989
amaroru01,1936,1,6,Mexico,Tamaulipas,Nuevo Laredo,2017,3,31,USA,FL,Weston,Ruben,Amaro,Ruben,170,71,R,R,7/15/1958,9/28/1969,amarr101,amaroru01,3/31/2017,1/6/1936
amezaal01,1978,1,16,Mexico,Sonora,Ciudad Obregon,,,,,,,Alfredo,Amezaga,Alfredo,165,71,B,R,5/24/2002,9/4/2011,ameza001,amezaal01,,1/16/1978
amorosa01,1930,1,30,Cuba,Matanzas,Matanzas,1992,6,27,USA,FL,Miami,Sandy,Amoros,Edmundo,170,67,L,L,8/22/1952,10/2/1960,amors101,amorosa01,6/27/1992,1/30/1930
amorvi01,1932,8,8,Cuba,La Haba,La Haba,,,,,,,Vicente,Amor,Vicente,182,75,R,R,4/16/1955,8/26/1957,amorv101,amorvi01,,8/8/1932
anderjo01,1873,12,14,Norway,,Sarpsborg,1949,7,23,USA,MA,Worcester,John,Anderson,John Joseph,180,74,B,R,1894-09-08,10/2/1908,andej101,anderjo01,7/23/1949,1873-12-14
andruel01,1988,8,26,Venezuela,Aragua,Maracay,,,,,,,Elvis,Andrus,Elvis Augusto,210,72,R,R,4/6/2009,10/5/2022,andre001,andruel01,,8/26/1988
andruwi01,1858,10,14,CAN,ON,Orono,1935,6,17,USA,MT,Miles City,Wyman,Andrus,William Wiman,155,66,,,1885-09-15,1885-09-15,andrw101,andruwi01,6/17/1935,1858-10-14
andujjo01,1952,12,21,D.R.,San Pedro de Macoris,San Pedro de Macoris,2015,9,8,D.R.,San Pedro de Macoris,San Pedro de Macoris,Joaquin,Andujar,Joaquin,170,72,B,R,4/8/1976,9/30/1988,anduj001,andujjo01,9/8/2015,12/21/1952
andujlu01,1972,11,22,D.R.,Peravia,Bani,,,,,,,Luis,Andujar,Luis,175,74,R,R,9/8/1995,6/28/1998,andul001,andujlu01,,11/22/1972
andujmi01,1995,3,2,D.R.,San Cristobal,San Cristobal,,,,,,,Miguel,Andujar,Miguel Enrique,211,72,R,R,6/28/2017,10/5/2022,andum001,andujmi01,,3/2/1995
aokino01,1982,1,5,Japan,Miyazaki,Hyuga,,,,,,,Nori,Aoki,Norichika,180,69,L,R,4/6/2012,10/1/2017,aokin001,aokino01,,1/5/1982
aparilu01,1934,4,29,Venezuela,Zulia,Maracaibo,,,,,,,Luis,Aparicio,Luis Ernesto,160,69,R,R,4/17/1956,9/28/1973,aparl101,aparilu01,,4/29/1934
apontlu01,1953,6,14,Venezuela,Anzoategui,El Tigre,,,,,,,Luis,Aponte,Luis Eduardo,185,72,R,R,9/4/1980,7/6/1984,aponl001,apontlu01,,6/14/1953
apostsh01,1999,3,11,Curacao,,Willemstad,,,,,,,Sherten,Apostel,Sherten Wimbert Ramiro,235,76,R,R,9/12/2020,9/24/2020,aposs001,apostsh01,,3/11/1999
aquir01,1994,4,22,D.R.,Distrito ciol,Santo Domingo,,,,,,,Aristides,Aquino,Aristides,220,76,R,R,8/19/2018,10/3/2022,aquia001,aquir01,,4/22/1994
aquingr01,1978,1,11,D.R.,San Cristobal,Puerto Palenque,,,,,,,Greg,Aquino,Gregori Emilio,190,73,R,R,7/2/2004,6/17/2009,aquig001,aquingr01,,1/11/1978
aquinja01,1992,11,22,D.R.,San Pedro de Macoris,San Pedro de Macoris,,,,,,,Jayson,Aquino,Jayson Julio,225,73,L,L,7/4/2016,7/5/2017,aquij001,aquinja01,,11/22/1992
aquinlu01,1964,5,19,P.R.,,Santurce,,,,,,,Luis,Aquino,Luis Antonio,155,72,R,R,8/8/1986,9/12/1995,aquil001,aquinlu01,,5/19/1964
aragoan01,1890,8,2,Cuba,La Haba,La Haba,1952,1,24,USA,NY,New York,Angel,Aragon,Angel,150,65,R,R,8/20/1914,7/21/1917,araga101,aragoan01,1/24/1952,1890-08-02
aragoja01,1915,11,20,Cuba,La Haba,La Haba,1988,4,4,USA,FL,Clearwater,Jack,Aragon,Angel Valdes,176,70,R,R,8/13/1941,8/13/1941,aragj101,aragoja01,4/4/1988,11/20/1915
arandjo01,1998,5,23,Mexico,Baja California,Tijua,,,,,,,Jothan,Aranda,Jothan Alexander,210,72,L,R,6/24/2022,10/5/2022,aranj001,arandjo01,,5/23/1998
aranovi01,1995,2,7,Mexico,Veracruz,Cosamaloapan,,,,,,,Victor,Arano,Victor Teodoro,228,74,R,R,9/12/2017,9/1/2022,aranv001,aranovi01,,2/7/1995
araujel01,1991,7,15,Venezuela,Zulia,Maracaibo,,,,,,,Elvis,Araujo,Elvis Alejandro,275,79,L,L,5/5/2015,8/16/2016,araue001,araujel01,,7/15/1991
araujpe01,1993,7,2,D.R.,San Cristobal,San Cristobal,,,,,,,Pedro,Araujo,Pedro,215,75,R,R,3/31/2018,4/1/2019,araup001,araujpe01,,7/2/1993
arauzjo01,1998,8,3,Pama,Chiriqui,Alanje,,,,,,,Jothan,Arauz,Jothan Aldair,195,72,B,R,7/24/2020,7/25/2022,arauj001,arauzjo01,,8/3/1998
archeji01,1883,5,13,Ireland,Dublin,Dublin,1958,3,29,USA,WI,Milwaukee,Jimmy,Archer,James Patrick,168,70,R,R,9/6/1904,9/2/1918,archj102,archeji01,3/29/1958,1883-05-13
arciafr01,1989,9,14,Venezuela,La Guaira,Maiquetia,,,,,,,Francisco,Arcia,Francisco Antonio,200,71,L,R,7/26/2018,9/30/2018,arcif001,arciafr01,,9/14/1989
arciajo01,1943,8,22,Cuba,La Haba,La Haba,2016,7,30,USA,FL,Miami,Jose,Arcia,Jose Raimundo,170,75,R,R,4/10/1968,9/30/1970,arcij101,arciajo01,7/30/2016,8/22/1943
arciaor01,1994,8,4,Venezuela,Anzoategui,Aco,,,,,,,Orlando,Arcia,Orlando Jesus,187,72,R,R,8/2/2016,10/5/2022,arcio002,arciaor01,,8/4/1994
arciaos01,1991,5,9,Venezuela,Anzoategui,Aco,,,,,,,Oswaldo,Arcia,Oswaldo Celestino,230,72,L,R,4/15/2013,9/18/2016,arcio001,arciaos01,,5/9/1991
ardizru01,1919,11,20,Italy,Novara,Oleggio,2015,7,19,USA,CA,San Francisco,Rugger,Ardizoia,Rildo Joseph,180,71,R,R,4/30/1947,4/30/1947,ardir101,ardizru01,7/19/2015,11/20/1919
ariasal02,1983,10,14,D.R.,Distrito ciol,Santo Domingo,,,,,,,Alberto,Arias,Alberto A.,155,71,R,R,5/1/2007,8/23/2009,ariaa002,ariasal02,,10/14/1983
ariasga01,2000,2,27,Venezuela,Aragua,La Victoria,,,,,,,Gabriel,Arias,Gabriel Alejandro,217,73,R,R,4/20/2022,10/5/2022,ariag002,ariasga01,,2/27/2000
ariasjo01,1984,9,21,D.R.,Distrito ciol,Santo Domingo,,,,,,,Joaquin,Arias,Joaquin,185,73,R,R,9/13/2006,7/24/2015,ariaj001,ariasjo01,,9/21/1984
ariasru01,1931,6,6,Cuba,,Las Villas,2018,1,12,USA,FL,Miami,Rudy,Arias,Rodolfo,165,70,L,L,4/10/1959,8/26/1959,ariar101,ariasru01,1/12/2018,6/6/1931
arihako01,1992,8,11,Japan,Hiroshima,Hiroshima,,,,,,,Kohei,Arihara,Kohei,210,74,R,R,4/3/2021,9/10/2022,arihk001,arihako01,,8/11/1992
armasma01,1969,8,5,Venezuela,Anzoategui,Puerto Piritu,,,,,,,Marcos,Armas,Marcos Rafael,190,77,R,R,5/25/1993,9/29/1993,armam001,armasma01,,8/5/1969
armasto01,1953,7,2,Venezuela,Anzoategui,Puerto Piritu,,,,,,,Tony,Armas,Antonio Rafael,182,71,R,R,9/6/1976,10/1/1989,armat001,armasto01,,7/2/1953
armasto02,1978,4,29,Venezuela,Anzoategui,Puerto Piritu,,,,,,,Tony,Armas,Antonio Jose,205,76,R,R,8/16/1999,7/7/2008,armat002,armasto02,,4/29/1978
armbred01,1948,7,4,Bahamas,New Providence,ssau,2021,3,17,Bahamas,New Providence,ssau,Ed,Armbrister,Edison Rosanda,160,71,R,R,8/31/1973,10/2/1977,armbe101,armbred01,3/17/2021,7/4/1948
armenro01,1994,6,30,Cuba,La Haba,La Haba,,,,,,,Rogelio,Armenteros,Rogelio,244,73,R,R,6/14/2019,8/17/2019,armer001,armenro01,,6/30/1994
arochre01,1964,2,24,Cuba,La Haba,La Haba,,,,,,,Rene,Arocha,Rene,180,72,R,R,4/9/1993,6/6/1997,arocr001,arochre01,,2/24/1964
arojo01,1990,10,10,D.R.,La Vega,La Vega,,,,,,,Jothan,Aro,Jothan Arturo,235,72,R,R,6/25/2015,6/20/2016,aro-j001,arojo01,,10/10/1990
arozara01,1995,2,28,Cuba,La Haba,La Haba,,,,,,,Randy,Arozare,Randy,185,71,R,R,8/14/2019,10/5/2022,arozr001,arozara01,,2/28/1995
arraelu01,1997,4,9,Venezuela,Yaracuy,San Felipe,,,,,,,Luis,Arraez,Luis Sangel,175,70,L,R,5/18/2019,10/5/2022,arral001,arraelu01,,4/9/1997
