playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws
acosted01,1944,3,9,Panama,Chiriqui,Boquete,,,,,,,Ed,Acosta,Eduardo Elixbet,215,77,B,R
acostjo01,1891,3,4,Cuba,La Habana,La Habana,1977,11,16,Cuba,La Habana,La Habana,Jose,Acosta,Jose,134,66,R,R
acostma01,1981,5,1,Panama,Colon,Colon,,,,,,,Manny,Acosta,Manuel Alcides,215,76,R,R
acostme01,1896,5,19,Cuba,Artemisa,Bauta,1963,11,17,USA,FL,Miami,Merito,Acosta,Baldomero Pedro,140,67,L,L
acrema01,1968,9,16,USA,CA,Concord,,,,,,,Mark,Acre,Mark Robert,235,80,R,R
actama99,1969,1,11,D.R.,San Pedro de Macoris,San Pedro de Macoris,,,,,,,Manny,Acta,Manuel Elias,172,74,R,R
acunaro01,1997,12,18,Venezuela,La Guaira,La Guaira,,,,,,,Ronald,Acuna,Ronald Jose,205,72,R,R
adairbi99,1913,2,10,USA,AL,Mobile,2002,6,17,USA,AL,Bay Minette,Bill,Adair,Marion Danne,168,72,R,R
adairje01,1936,12,17,USA,OK,Sand Springs,1987,5,31,USA,OK,Tulsa,Jerry,Adair,Kenneth Jerry,175,72,R,R
adairji01,1907,1,25,USA,TX,Waxahachie,1982,12,9,USA,TX,Farmers Branch,Jimmy,Adair,James Aubrey,154,70,R,R
adamecr01,1991,7,26,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Cristhian,Adames,Cristhian Pascual,217,71,B,R
adamewi01,1995,9,2,D.R.,Santiago,Santiago,,,,,,,Willy,Adames,Willy Rafael,210,72,R,R
adamja01,1991,8,4,USA,NE,Omaha,,,,,,,Jason,Adam,Jason Kendall,229,75,R,R
adamsac01,1910,3,2,USA,CA,Willows,2006,2,26,USA,GA,Albany,Ace,Adams,Ace Townsend,182,70,R,R
adamsau01,1986,8,19,USA,AL,Montgomery,,,,,,,Austin,Adams,Austin David,205,71,R,R
adamsau02,1991,5,5,USA,FL,Tampa,,,,,,,Austin,Adams,Austin Lance,220,75,R,R
adamsba01,1882,5,18,USA,IN,Tipton,1968,7,27,USA,MD,Silver Spring,Babe,Adams,Charles Benjamin,185,71,L,R
adamsbe01,1891,6,21,USA,TX,Wharton,1940,6,24,USA,CA,Los Angeles,Bert,Adams,John Bertram,185,73,B,R
adamsbo01,1901,7,24,USA,MA,Holyoke,1996,10,17,USA,PA,Lemoyne,Bob,Adams,Robert Burnette,168,71,R,R
adamsbo02,1907,1,20,USA,AL,Birmingham,1970,3,6,USA,FL,Jacksonville,Bob,Adams,Robert Andrew,165,72,R,R
adamsbo03,1921,12,14,USA,CA,Tuolumne,1997,2,13,USA,WA,Gig Harbor,Bobby,Adams,Robert Henry,160,70,R,R
adamsbo04,1952,1,6,USA,PA,Pittsburgh,,,,,,,Bob,Adams,Robert Melvin,200,74,R,R
adamsbu01,1915,6,24,USA,CO,Trinidad,1990,9,1,USA,CA,Rancho Mirage,Buster,Adams,Elvin Clark,180,72,R,R
adamsch01,1994,8,10,USA,AZ,Scottsdale,,,,,,,Chance,Adams,Chance,215,73,R,R
adamsda01,1887,6,19,USA,MO,St. Louis,1964,10,6,USA,MO,St. Louis,Dan,Adams,Daniel Leslie,165,71,R,R
adamsda02,1987,5,15,USA,FL,Margate,,,,,,,David,Adams,David Lee,205,74,R,R
adamsdi01,1920,4,8,USA,CA,Tuolumne,2016,9,14,USA,CA,Fallbrook,Dick,Adams,Richard Leroy,185,72,R,L
adamsdo01,1943,1,27,USA,WI,Blue River,,,,,,,Doug,Adams,Harold Douglas,185,75,L,R
adamsge01,1855,1,25,USA,MA,Worcester,1920,10,11,USA,WA,Clarkston,George,Adams,George Henry,175,66,R,R
adamsgl01,1947,10,4,USA,MA,Northbridge,,,,,,,Glenn,Adams,Glenn Charles,180,73,L,R
adamshe01,1928,4,14,USA,CA,Hollywood,2012,2,1,USA,OK,Tulsa,Herb,Adams,Herbert Loren,160,69,L,L
adamsji01,1868,,,USA,IL,East St. Louis,,,,,,,Jim,Adams,James J.,148,66,,R
adamsjo01,1877,10,28,USA,IL,Cowden,1952,10,8,USA,MO,Bachelor,Joe,Adams,Joseph Edward,190,72,R,L
adamsjo02,1971,7,2,USA,CA,Lakewood,,,,,,,Joel,Adamson,Joel Lee,185,76,L,L
adamska01,1891,8,11,USA,GA,Columbus,1967,9,17,USA,WA,Everett,Karl,Adams,Karl Tutwiler,170,74,R,R
adamsla01,1989,11,13,USA,OK,Talihina,,,,,,,Lane,Adams,Lane Weston,190,76,R,R
adamsma01,1988,8,31,USA,PA,Philipsburg,,,,,,,Matt,Adams,Matthew James,245,75,L,R
adamsmi01,1947,9,13,USA,CA,San Diego,,,,,,,Mike,Adamson,John Michael,185,74,R,R
adamsmi02,1948,7,24,USA,OH,Cincinnati,,,,,,,Mike,Adams,Robert Michael,180,69,R,R
adamsmi03,1978,7,29,USA,TX,Corpus Christi,,,,,,,Mike,Adams,Jon Michael,210,77,R,R
adamsre01,1921,10,7,USA,CA,Parlier,2017,1,18,USA,CA,Fresno,Red,Adams,Charles Dwight,185,72,R,R
adamsri01,1878,12,24,USA,TX,Paris,1955,3,10,USA,TX,Paris,Rick,Adams,Reuben Alexander,165,72,L,L
adamsri02,1959,1,21,USA,CA,Upland,2011,10,28,USA,CA,Rancho Cucamonga,Ricky,Adams,Ricky Lee,180,74,R,R
adamsri03,1996,6,26,USA,CA,Encinitas,,,,,,,Riley,Adams,Riley Keaton,246,76,R,R
adamsru01,1980,8,30,USA,NC,Laurinburg,,,,,,,Russ,Adams,Russ Moore,205,72,L,R
adamsry01,1987,4,21,USA,LA,New Orleans,,,,,,,Ryan,Adams,Ryan Scott,185,71,R,R
adamssp01,1894,8,26,USA,PA,Zerbe,1989,2,24,USA,PA,Pottsville,Sparky,Adams,Earl John,151,65,R,R
adamssp02,1898,6,21,USA,UT,Layton,1970,11,24,USA,UT,Salt Lake City,Spencer,Adams,Spencer Dewey,158,69,L,R
adamste01,1973,3,6,USA,AL,Mobile,,,,,,,Terry,Adams,Terry Wayne,180,75,R,R
adamswi01,1890,9,27,USA,PA,Clearfield,1937,6,18,USA,NY,Albany,Willie,Adams,James Irvin,180,76,R,R
adamswi02,1972,10,8,USA,NM,Gallup,,,,,,,Willie,Adams,William Edward,215,79,R,R
adcocjo01,1927,10,30,USA,LA,Coushatta,1999,5,3,USA,LA,Coushatta,Joe,Adcock,Joseph Wilbur,210,76,R,R
adcocna01,1988,2,25,USA,KY,Elizabethtown,,,,,,,Nathan,Adcock,Nathan Masler,235,76,R,R
addisbo01,1925,11,6,USA,OH,Mineral,2016,11,15,USA,OH,Mentor,Bob,Addis,Robert Gordon,175,72,L,R
adducji01,1959,8,9,USA,IL,Chicago,,,,,,,Jim,Adduci,James David,200,77,L,L
adducji02,1985,5,15,CAN,BC,Burnaby,,,,,,,Jim,Adduci,Jim Charles,210,74,L,L
addybo01,1842,2,,CAN,ON,Port Hope,1910,4,9,USA,ID,Pocatello,Bob,Addy,Robert Edward,160,68,L,L
adelljo01,1999,4,8,USA,NC,Shelby,,,,,,,Jo,Adell,Jordon Scott,215,75,R,R
adenhni01,1986,8,24,USA,MD,Silver Spring,2009,4,9,USA,CA,Orange,Nick,Adenhart,Nicholas James,185,75,R,R
aderhmo01,1915,9,13,USA,NC,Mount Olive,1955,3,18,USA,FL,Sarasota,Morrie,Aderholt,Morris Woodrow,188,73,L,R
adkinde01,1918,5,11,USA,KS,Norcatur,1998,12,26,USA,CA,Santa Monica,Dewey,Adkins,John Dewey,195,74,R,R
adkindi01,1920,3,3,USA,TX,Electra,1955,9,12,USA,TX,Electra,Dick,Adkins,Richard Earl,165,70,R,R
adkindo01,1872,8,5,USA,WI,Troy,1934,2,21,USA,NC,Durham,Doc,Adkins,Merle Theron,220,70,R,R
adkingr01,1897,6,29,USA,AR,Jacksonville,1966,3,31,USA,AR,Little Rock,Grady,Adkins,Grady Emmett,175,71,R,R
adkinhe01,1874,1,19,USA,MO,Fulton,1953,1,2,USA,MO,Mexico,Harry,Atkinson,John Harry,,,,
adkinjo01,1977,8,30,USA,WV,Huntington,,,,,,,Jon,Adkins,Jonathan Scott,200,72,L,R
adkinst01,1964,10,26,USA,IL,Chicago,,,,,,,Steve,Adkins,Steven Thomas,210,78,R,L
adlemti01,1987,11,13,USA,NY,Staten Island,,,,,,,Tim,Adleman,Timothy Max,225,77,R,R
adlesda01,1943,7,15,USA,CA,Long Beach,2016,2,15,USA,CA,Long Beach,Dave,Adlesh,David George,187,72,R,R
adonjo01,1998,8,12,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Joan,Adon,Joan Manuel,242,74,R,R
adriaeh01,1989,8,21,Venezuela,Miranda,Guarenas,,,,,,,Ehire,Adrianza,Ehire Enrique,195,73,B,R
afenitr01,1963,9,21,USA,CA,Escondido,,,,,,,Troy,Afenir,Michael Troy,185,76,R,R
affelje01,1979,6,6,USA,AZ,Phoenix,,,,,,,Jeremy,Affeldt,Jeremy David,225,76,L,L
agbaybe01,1971,12,28,USA,HI,Honolulu,,,,,,,Benny,Agbayani,Benny Peter,225,72,R,R
ageeto01,1942,8,9,USA,AL,Magnolia,2001,1,22,USA,NY,New York,Tommie,Agee,Tommie Lee,195,71,R,R
agganha01,1929,4,20,USA,MA,Lynn,1955,6,27,USA,MA,Cambridge,Harry,Agganis,Harry,200,74,L,L
aglerjo01,1887,6,12,USA,OH,Coshocton,1971,4,26,USA,OH,Massillon,Joe,Agler,Joseph Abram,165,71,L,L
agnewsa01,1887,4,12,USA,MO,Farmington,1951,7,19,USA,CA,Sonoma,Sam,Agnew,Samuel Lester,185,71,R,R
agostju01,1958,2,23,P.R.,,Rio Piedras,,,,,,,Juan,Agosto,Juan Roberto,190,74,L,L
agrazda01,1994,12,28,Panama,Cocle,Aguadulce,,,,,,,Dario,Agrazal,Dario Abdiel,225,74,R,R
aguaylu01,1959,3,13,P.R.,,Vega Baja,,,,,,,Luis,Aguayo,Luis,173,69,R,R
aguilch01,1979,2,23,USA,CA,Redwood City,,,,,,,Chris,Aguila,Christopher Louis,200,71,R,R
aguilje01,1990,6,30,Venezuela,Aragua,Maracay,,,,,,,Jesus,Aguilar,Jesus Alexander,277,75,R,R
aguilmi01,1991,9,26,Mexico,Sonora,Ciudad Obregon,,,,,,,Miguel,Aguilar,Miguel Armando,194,68,L,L
aguilri01,1961,12,31,USA,CA,San Gabriel,,,,,,,Rick,Aguilera,Richard Warren,195,76,R,R
aguirha01,1931,1,31,USA,CA,Azusa,1994,9,5,USA,MI,Bloomfield Hills,Hank,Aguirre,Henry John,205,76,R,L
ahearch01,1858,,,USA,NY,Troy,1919,4,28,USA,NY,Troy,Bill,Ahearn,William H.,,,,
ahearpa01,1969,12,10,USA,CA,San Francisco,,,,,,,Pat,Ahearne,Patrick Howard,195,75,R,R
ahmedni01,1990,3,15,USA,MA,East Longmeadow,,,,,,,Nick,Ahmed,Nicholas Mark,201,74,R,R
aikenwi01,1954,10,14,USA,SC,Seneca,,,,,,,Willie,Aikens,Willie Mays,220,75,L,R
aingeda01,1959,3,17,USA,OR,Eugene,,,,,,,Danny,Ainge,Daniel Ray,175,76,R,R
ainsmed01,1890,2,4,Russia,,,1981,9,6,USA,FL,Fort Lauderdale,Eddie,Ainsmith,Edward Wilbur,180,71,R,R
ainswku01,1978,9,9,USA,LA,Baton Rouge,,,,,,,Kurt,Ainsworth,Kurt Harold,192,75,R,R
aitchra01,1887,12,5,USA,SD,Tyndall,1958,9,26,USA,KS,Columbus,Raleigh,Aitchison,Raleigh Leonidas,175,71,R,L
aitonge01,1890,12,29,USA,KS,Kingman,1976,8,16,USA,CA,North Hollywood,George,Aiton,George Wilson,175,71,B,R
akejo01,1861,8,29,USA,PA,Altoona,1887,5,11,USA,WI,La Crosse,John,Ake,John Leckie,180,73,R,R
akerfda01,1962,6,12,USA,CO,Denver,2012,6,24,USA,AZ,Phoenix,Darrel,Akerfelds,Darrel Wayne,210,74,R,R
akerja01,1940,7,13,USA,CA,Tulare,,,,,,,Jack,Aker,Jackie Delane,190,74,R,R
akersbi01,1904,12,25,USA,TN,Chattanooga,1962,4,13,USA,TN,Chattanooga,Bill,Akers,William G.,178,71,R,R
akersje01,1887,11,1,USA,IN,Shelbyville,1979,5,15,USA,FL,Bay Pines,Jerry,Akers,Albert Earl,175,71,R,R
akinke01,1995,4,1,USA,MI,Alma,,,,,,,Keegan,Akin,Keegan Lee,235,71,L,L
akiyash01,1988,4,16,Japan,Kanagawa,Yokosuka,,,,,,,Shogo,Akiyama,Shogo,182,72,L,R
alanirj01,1991,6,14,USA,TX,McAllen,,,,,,,R. J.,Alaniz,Ruben,220,76,R,R
albagi01,1960,1,18,D.R.,Santiago,Santiago,,,,,,,Gibson,Alba,Gibson Alberto,160,74,L,L
albaljo01,1982,10,30,P.R.,,San Juan,,,,,,,Jonathan,Albaladejo,Jonathan,270,77,R,R
albanjo01,1933,6,26,USA,NY,New York,2000,6,17,USA,NY,New York,Joe,Albanese,Joseph Peter,215,75,R,R
alberan01,1985,10,6,CAN,SK,North Battleford,,,,,,,Andrew,Albers,Andrew William,200,73,R,L
alberbu01,1950,5,4,USA,PA,Williamsport,,,,,,,Butch,Alberts,Francis Burt,205,74,R,R
albercy01,1882,1,14,USA,MI,Grand Rapids,1917,8,27,USA,IN,Fort Wayne,Cy,Alberts,Frederick Joseph,230,72,R,R
albergu01,1860,9,,USA,PA,Reading,1912,5,7,USA,CO,Idaho Springs,Gus,Alberts,Augustus Peter,180,66,R,R
alberha01,1992,10,17,D.R.,Duarte,San Francisco de Macoris,,,,,,,Hanser,Alberto,Hanser Joel,215,71,R,R
alberjo01,1969,6,29,P.R.,,San Juan,,,,,,,Jose,Alberro,Jose Edgardo,190,74,R,R
alberma01,1983,1,20,USA,TX,Houston,,,,,,,Matt,Albers,Matthew James,225,73,L,R
albieoz01,1997,1,7,Curacao,,Willemstad,,,,,,,Ozzie,Albies,Ozhaino Jurdy Jiandro,165,68,B,R
albosed01,1918,10,27,USA,MI,Saginaw,2003,1,7,USA,MI,Saginaw,Ed,Albosta,Edward John,175,73,R,R
albreed01,1929,2,28,USA,MO,St. Louis,1979,12,29,USA,IL,Centreville,Ed,Albrecht,Edward Arthur,165,70,R,R
albrija01,1921,6,30,USA,FL,St. Petersburg,1991,7,22,USA,CA,San Diego,Jack,Albright,Harold John,175,69,R,R
albural01,1986,6,10,D.R.,San Pedro de Macoris,San Pedro de Macoris,,,,,,,Al,Alburquerque,Alberto Jose,195,72,R,R
alburvi01,1947,5,12,USA,FL,Key West,2017,4,18,USA,FL,Tampa,Vic,Albury,Victor,190,72,L,L
alcaljo01,1995,7,28,D.R.,San Cristobal,Bajos de Haina,,,,,,,Jorge,Alcala,Jorge Luis,205,75,R,R
alcalsa01,1952,12,23,D.R.,San Pedro de Macoris,San Pedro de Macoris,,,,,,,Santo,Alcala,Santo,195,77,R,R
alcanar01,1991,10,29,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Arismendy,Alcantara,Arismendy,170,70,B,R
alcanis01,1973,5,6,D.R.,Peravia,Bani,,,,,,,Israel,Alcantara,Israel,180,74,R,R
alcanra01,1992,12,4,D.R.,Barahona,Barahona,,,,,,,Raul,Alcantara,Raul,220,76,R,R
alcansa01,1995,9,7,D.R.,Azua,Azua,,,,,,,Sandy,Alcantara,Sandy,200,77,R,R
alcanse01,1996,7,10,D.R.,Santo Domingo,Santo Domingo Este,,,,,,,Sergio,Alcantara,Sergio Junior,151,69,B,R
alcanvi01,1993,4,3,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Victor,Alcantara,Victor Alfonso,190,74,R,R
alcarlu01,1941,6,20,P.R.,,Humacao,,,,,,,Luis,Alcaraz,Angel Luis,165,69,R,R
alcocsc01,1885,11,29,USA,OH,Wooster,1973,1,30,USA,OH,Wooster,Scotty,Alcock,John Forbes,160,69,R,R
alderda01,1918,3,9,USA,NE,Belden,1982,2,12,USA,CA,Garden Grove,Dale,Alderson,Dale Leonard,190,70,R,R
aldremi01,1961,1,29,USA,CA,Carmel,,,,,,,Mike,Aldrete,Michael Peter,180,71,L,L
aldresc01,1968,6,12,USA,MI,Flint,,,,,,,Scott,Aldred,Scott Phillip,195,76,L,L
aldrico01,1979,6,13,USA,TX,San Angelo,,,,,,,Cory,Aldridge,Cory Jerome,210,72,L,R
aldrija01,1961,4,14,USA,LA,Alexandria,,,,,,,Jay,Aldrich,Jay Robert,210,75,R,R
aldrivi01,1893,10,25,USA,IN,Crane,1973,4,17,USA,IN,Terre Haute,Vic,Aldridge,Victor,175,69,R,R
alenoch01,1917,2,19,USA,MO,St. Louis,2003,2,10,USA,FL,DeLand,Chuck,Aleno,Charles,215,73,R,R
alexabo01,1922,8,7,CAN,BC,Vancouver,1993,4,7,USA,CA,Oceanside,Bob,Alexander,Robert Somerville,205,74,R,R
alexada01,1903,4,26,USA,TN,Greeneville,1979,3,2,USA,TN,Greeneville,Dale,Alexander,David Dale,210,75,R,R
alexado01,1950,9,4,USA,AL,Cordova,,,,,,,Doyle,Alexander,Doyle Lafayette,190,75,R,R
alexaga01,1953,3,27,USA,CA,Los Angeles,,,,,,,Gary,Alexander,Gary Wayne,195,74,R,R
alexage01,1968,3,26,USA,LA,Baton Rouge,,,,,,,Gerald,Alexander,Gerald Paul,190,71,R,R
alexahu01,1917,7,10,USA,MO,Buffalo,2000,11,25,USA,OK,Oklahoma City,Hugh,Alexander,Hugh,190,72,R,R
alexama01,1947,1,30,USA,LA,Shreveport,,,,,,,Matt,Alexander,Matthew,168,71,B,R
alexama02,1971,3,20,D.R.,San Pedro de Macoris,San Pedro de Macoris,,,,,,,Manny,Alexander,Manuel de Jesus,150,70,R,R
alexani01,1858,11,24,USA,IL,Pana,1933,12,22,USA,IL,Pana,Nin,Alexander,William Henry,163,64,R,R
alexape01,1887,2,26,USA,NE,Elba,1950,11,4,USA,NE,St. Paul,Pete,Alexander,Grover Cleveland,185,73,R,R
alexasc01,1989,7,10,USA,CA,Santa Rosa,,,,,,,Scott,Alexander,Scott Alain,195,74,L,L
alexaty01,1994,7,14,USA,IL,Chicago,,,,,,,Tyler,Alexander,Tyler John,203,74,R,L
alexawa01,1891,3,5,USA,GA,Atlanta,1978,12,29,USA,TX,Fort Worth,Walt,Alexander,Walter Ernest,165,70,R,R
alexyaj01,1998,4,21,USA,PA,Honey Brook,,,,,,,A. J.,Alexy,Adam John,195,76,R,R
alfarja01,1977,11,29,USA,TX,San Antonio,,,,,,,Jason,Alfaro,Jason,185,70,R,R
alfarjo01,1993,6,11,Colombia,Sucre,Sincelejo,,,,,,,Jorge,Alfaro,Jorge Mario,230,75,R,R
alfonan01,1972,4,16,D.R.,La Romana,La Romana,,,,,,,Antonio,Alfonseca,Antonio,250,77,R,R
alfoned01,1973,11,8,Venezuela,Miranda,Santa Teresa del Tuy,,,,,,,Edgardo,Alfonzo,Edgardo Antonio,210,71,R,R
alfonel01,1979,2,7,Venezuela,Anzoategui,Puerto La Cruz,,,,,,,Eliezer,Alfonzo,Eliezer Jesus,220,71,R,R
alforan01,1994,7,20,USA,MS,Columbia,,,,,,,Anthony,Alford,Anthony Joseph,215,73,R,R
alicelu01,1965,7,29,P.R.,,Santurce,,,,,,,Luis,Alicea,Luis Rene,165,69,B,R
allanan01,1961,12,22,USA,VA,Richmond,,,,,,,Andy,Allanson,Andrew Neal,220,77,R,R
allarbr01,1958,1,3,USA,IL,Spring Valley,,,,,,,Brian,Allard,Brian Marshall,175,73,R,R
allarko01,1997,8,13,USA,CA,Anaheim,,,,,,,Kolby,Allard,Kolby Kenneth,195,73,L,L
allenau01,1994,1,16,USA,MO,St. Louis,,,,,,,Austin,Allen,Austin Michael,219,74,L,R
allenbe01,1939,4,16,USA,OH,East Liverpool,,,,,,,Bernie,Allen,Bernard Keith,175,72,L,R
allenbo01,1867,7,10,USA,OH,Marion,1943,5,14,USA,AR,Little Rock,Bob,Allen,Robert Gilman,175,71,R,R
allenbo02,1894,10,13,USA,WI,Muscoda,1975,12,18,USA,IL,Naperville,Bob,Allen,Robert,180,70,R,R
allenbo03,1914,7,2,USA,TN,Smithville,2005,10,30,USA,VA,Chesapeake,Bob,Allen,Robert Earl,165,73,R,R
allenbo04,1937,10,23,USA,TX,Tatum,,,,,,,Bob,Allen,Robert Gray,175,74,L,L
allenbr01,1986,2,12,USA,TX,Conroe,,,,,,,Brandon,Allen,Brandon Durell,230,74,L,R
allench01,1975,2,6,USA,TX,Dallas,,,,,,,Chad,Allen,John Chad,195,73,R,R
allenco01,1988,11,20,USA,FL,Orlando,,,,,,,Cody,Allen,Cody Edward,210,73,R,R
