playerid,yearid,votedby,ballots,needed,votes,inducted,category,needed_note
bakerfr01,1955,Veterans,,,,Y,Player,
schalra01,1955,Veterans,,,,Y,Player,
greenha01,1956,BBWAA,193,145,164,Y,Player,
cronijo01,1956,BBWAA,193,145,152,Y,Player,
crawfsa01,1957,Veterans,,,,Y,Player,
mccarjo99,1957,Veterans,,,,Y,Manager,
wheatza01,1959,Veterans,,,,Y,Player,
careyma01,1961,Veterans,,,,Y,Player,
hamilbi01,1961,Veterans,,,,Y,Player,
fellebo01,1962,BBWAA,160,120,150,Y,Player,
robinja02,1962,BBWAA,160,120,124,Y,Player,
mckecbi01,1962,Veterans,,,,Y,Manager,
roushed01,1962,Veterans,,,,Y,Player,
clarkjo01,1963,Veterans,,,,Y,Player,
flickel01,1963,Veterans,,,,Y,Player,
ricesa01,1963,Veterans,,,,Y,Player,
rixeyep01,1963,Veterans,,,,Y,Player,
applilu01,1964,Run Off,201,,189,Y,Player,1st
faberre01,1964,Veterans,,,,Y,Player,
grimebu01,1964,Veterans,,,,Y,Player,
huggimi01,1964,Veterans,,,,Y,Manager,
keefeti01,1964,Veterans,,,,Y,Player,
manushe01,1964,Veterans,,,,Y,Player,
wardjo01,1964,Veterans,,,,Y,Player,
galvipu01,1965,Veterans,,,,Y,Player,
willite01,1966,BBWAA,302,227,282,Y,Player,
stengca01,1966,Veterans,,,,Y,Manager,
ruffire01,1967,Run Off,306,,266,Y,Player,1st
rickebr01,1967,Veterans,,,,Y,Pioneer/Executive,
wanerll01,1967,Veterans,,,,Y,Player,
medwijo01,1968,BBWAA,283,213,240,Y,Player,
cuyleki01,1968,Veterans,,,,Y,Player,
gosligo01,1968,Veterans,,,,Y,Player,
musiast01,1969,BBWAA,340,255,317,Y,Player,
camparo01,1969,BBWAA,340,255,270,Y,Player,
covelst01,1969,Veterans,,,,Y,Player,
hoytwa01,1969,Veterans,,,,Y,Player,
boudrlo01,1970,BBWAA,300,225,232,Y,Player,
combsea01,1970,Veterans,,,,Y,Player,
frickfo99,1970,Veterans,,,,Y,Pioneer/Executive,
haineje01,1970,Veterans,,,,Y,Player,
bancrda01,1971,Veterans,,,,Y,Player,
becklja01,1971,Veterans,,,,Y,Player,
hafeych01,1971,Veterans,,,,Y,Player,
hoopeha01,1971,Veterans,,,,Y,Player,
kellejo01,1971,Veterans,,,,Y,Player,
marquru01,1971,Veterans,,,,Y,Player,
paigesa01,1971,Negro League,,,,Y,Player,
weissge99,1971,Veterans,,,,Y,Pioneer/Executive,
koufasa01,1972,BBWAA,396,297,344,Y,Player,
berrayo01,1972,BBWAA,396,297,339,Y,Player,
wynnea01,1972,BBWAA,396,297,301,Y,Player,
gibsojo99,1972,Negro League,,,,Y,Player,
gomezle01,1972,Veterans,,,,Y,Player,
harriwi99,1972,Veterans,,,,Y,Pioneer/Executive,
leonabu99,1972,Negro League,,,,Y,Player,
youngro01,1972,Veterans,,,,Y,Player,
spahnwa01,1973,BBWAA,380,285,316,Y,Player,
clemero01,1973,Special Election,,,,Y,Player,
evansbi99,1973,Veterans,,,,Y,Umpire,
irvinmo01,1973,Negro League,,,,Y,Player,
kellyge01,1973,Veterans,,,,Y,Player,
welchmi01,1973,Veterans,,,,Y,Player,
mantlmi01,1974,BBWAA,365,274,322,Y,Player,
fordwh01,1974,BBWAA,365,274,284,Y,Player,
bellco99,1974,Negro League,,,,Y,Player,
bottoji01,1974,Veterans,,,,Y,Player,
conlajo01,1974,Veterans,,,,Y,Umpire,
thompsa01,1974,Veterans,,,,Y,Player,
kinerra01,1975,BBWAA,362,272,273,Y,Player,
averiea01,1975,Veterans,,,,Y,Player,
harribu01,1975,Veterans,,,,Y,Manager,
hermabi01,1975,Veterans,,,,Y,Player,
johnsju99,1975,Negro League,,,,Y,Player,
roberro01,1976,BBWAA,388,291,337,Y,Player,
lemonbo01,1976,BBWAA,388,291,305,Y,Player,
charlos99,1976,Negro League,,,,Y,Player,
connoro01,1976,Veterans,,,,Y,Player,
hubbaca99,1976,Veterans,,,,Y,Umpire,
lindsfr01,1976,Veterans,,,,Y,Player,
bankser01,1977,BBWAA,383,288,321,Y,Player,
dihigma99,1977,Negro League,,,,Y,Player,
lloydpo99,1977,Negro League,,,,Y,Player,
lopezal01,1977,Veterans,,,,Y,Manager,
rusieam01,1977,Veterans,,,,Y,Player,
seweljo01,1977,Veterans,,,,Y,Player,
matheed01,1978,BBWAA,379,285,301,Y,Player,
jossad01,1978,Veterans,,,,Y,Player,
macphla99,1978,Veterans,,,,Y,Pioneer/Executive,
mayswi01,1979,BBWAA,432,324,409,Y,Player,
gileswa99,1979,Veterans,,,,Y,Pioneer/Executive,
wilsoha01,1979,Veterans,,,,Y,Player,
kalinal01,1980,BBWAA,385,289,340,Y,Player,
snidedu01,1980,BBWAA,385,289,333,Y,Player,
kleinch01,1980,Veterans,,,,Y,Player,
yawketo99,1980,Veterans,,,,Y,Pioneer/Executive,
gibsobo01,1981,BBWAA,401,301,337,Y,Player,
fosteru99,1981,Veterans,,,,Y,Manager,
mizejo01,1981,Veterans,,,,Y,Player,
aaronha01,1982,BBWAA,415,312,406,Y,Player,
robinfr02,1982,BBWAA,415,312,370,Y,Player,
chandha99,1982,Veterans,,,,Y,Pioneer/Executive,
jackstr01,1982,Veterans,,,,Y,Player,
robinbr01,1983,BBWAA,374,281,344,Y,Player,
maricju01,1983,BBWAA,374,281,313,Y,Player,
alstowa01,1983,Veterans,,,,Y,Manager,
kellge01,1983,Veterans,,,,Y,Player,
aparilu01,1984,BBWAA,403,303,341,Y,Player,
killeha01,1984,BBWAA,403,303,335,Y,Player,
drysddo01,1984,BBWAA,403,303,316,Y,Player,
ferreri01,1984,Veterans,,,,Y,Player,
reesepe01,1984,Veterans,,,,Y,Player,
wilheho01,1985,BBWAA,395,297,331,Y,Player,
brocklo01,1985,BBWAA,395,297,315,Y,Player,
slaugen01,1985,Veterans,,,,Y,Player,
vaughar01,1985,Veterans,,,,Y,Player,
mccovwi01,1986,BBWAA,425,319,346,Y,Player,
doerrbo01,1986,Veterans,,,,Y,Player,
lombaer01,1986,Veterans,,,,Y,Player,
willibi01,1987,BBWAA,413,310,354,Y,Player,
hunteca01,1987,BBWAA,413,310,315,Y,Player,
dandrra99,1987,Veterans,,,,Y,Player,
stargwi01,1988,BBWAA,427,321,352,Y,Player,
benchjo01,1989,BBWAA,447,336,431,Y,Player,
yastrca01,1989,BBWAA,447,336,423,Y,Player,
barlial99,1989,Veterans,,,,Y,Umpire,
schoere01,1989,Veterans,,,,Y,Player,
palmeji01,1990,BBWAA,444,333,411,Y,Player,
morgajo02,1990,BBWAA,444,333,363,Y,Player,
carewro01,1991,BBWAA,443,333,401,Y,Player,
perryga01,1991,BBWAA,443,333,342,Y,Player,
jenkife01,1991,BBWAA,443,333,334,Y,Player,
lazzeto01,1991,Veterans,,,,Y,Player,
veeckbi99,1991,Veterans,,,,Y,Pioneer/Executive,
seaveto01,1992,BBWAA,430,323,425,Y,Player,
fingero01,1992,BBWAA,430,323,349,Y,Player,
mcgowbi99,1992,Veterans,,,,Y,Umpire,
newhoha01,1992,Veterans,,,,Y,Player,
jacksre01,1993,BBWAA,423,318,396,Y,Player,
carltst01,1994,BBWAA,456,342,436,Y,Player,
durocle01,1994,Veterans,,,,Y,Manager,
rizzuph01,1994,Veterans,,,,Y,Player,
schmimi01,1995,BBWAA,460,345,444,Y,Player,
ashburi01,1995,Veterans,,,,Y,Player,
dayle99,1995,Veterans,,,,Y,Player,
hulbewi99,1995,Veterans,,,,Y,Pioneer/Executive,
willivi01,1995,Veterans,,,,Y,Player,
bunniji01,1996,Veterans,,,,Y,Player,
fostebi99,1996,Veterans,,,,Y,Player,
hanlone01,1996,Veterans,,,,Y,Manager,
weaveea99,1996,Veterans,,,,Y,Manager,
niekrph01,1997,BBWAA,473,353,380,Y,Player,
foxne01,1997,Veterans,,,,Y,Player,
lasorto01,1997,Veterans,,,,Y,Manager,
wellswi99,1997,Veterans,,,,Y,Player,
suttodo01,1998,BBWAA,473,355,386,Y,Player,
davisge01,1998,Veterans,,,,Y,Player,
dobyla01,1998,Veterans,,,,Y,Player,
macphle99,1998,Veterans,,,,Y,Pioneer/Executive,
roganbu99,1998,Veterans,,,,Y,Player,
ryanno01,1999,BBWAA,497,373,491,Y,Player,
brettge01,1999,BBWAA,497,373,488,Y,Player,
yountro01,1999,BBWAA,497,373,385,Y,Player,
cepedor01,1999,Veterans,,,,Y,Player,
chylane99,1999,Veterans,,,,Y,Umpire,
seleefr99,1999,Veterans,,,,Y,Manager,
willijo99,1999,Veterans,,,,Y,Player,
fiskca01,2000,BBWAA,499,375,397,Y,Player,
perezto01,2000,BBWAA,499,375,385,Y,Player,
andersp01,2000,Veterans,,,,Y,Manager,
mcphebi01,2000,Veterans,,,,Y,Player,
steartu99,2000,Veterans,,,,Y,Player,
winfida01,2001,BBWAA,515,387,435,Y,Player,
puckeki01,2001,BBWAA,515,387,423,Y,Player,
mazerbi01,2001,Veterans,,,,Y,Player,
smithhi99,2001,Veterans,,,,Y,Player,
smithoz01,2002,BBWAA,472,354,433,Y,Player,
murraed02,2003,BBWAA,496,372,423,Y,Player,
cartega01,2003,BBWAA,496,372,387,Y,Player,
molitpa01,2004,BBWAA,506,380,431,Y,Player,
eckerde01,2004,BBWAA,506,380,421,Y,Player,
boggswa01,2005,BBWAA,516,387,474,Y,Player,
sandbry01,2005,BBWAA,516,387,393,Y,Player,
suttebr01,2006,BBWAA,520,390,400,Y,Player,
brownra99,2006,Negro League,,,,Y,Player,
brownwi02,2006,Negro League,,,,Y,Player,
coopean99,2006,Negro League,,,,Y,Player,
grantfr99,2006,Negro League,,,,Y,Player,
hillpe99,2006,Negro League,,,,Y,Player,
mackebi99,2006,Negro League,,,,Y,Player,
manleef99,2006,Negro League,,,,Y,Pioneer/Executive,
mendejo99,2006,Negro League,,,,Y,Player,
pompeal99,2006,Negro League,,,,Y,Pioneer/Executive,
poseycu99,2006,Negro League,,,,Y,Pioneer/Executive,
santolo99,2006,Negro League,,,,Y,Player,
suttlmu99,2006,Negro League,,,,Y,Player,
taylobe99,2006,Negro League,,,,Y,Player,
torricr99,2006,Negro League,,,,Y,Player,
whiteso99,2006,Negro League,,,,Y,Pioneer/Executive,
wilkijl99,2006,Negro League,,,,Y,Pioneer/Executive,
wilsoju99,2006,Negro League,,,,Y,Player,
ripkeca01,2007,BBWAA,545,409,537,Y,Player,
gwynnto01,2007,BBWAA,545,409,532,Y,Player,
gossari01,2008,BBWAA,543,408,466,Y,Player,
dreyfba99,2008,Veterans,,,,Y,Pioneer/Executive,
kuhnbo99,2008,Veterans,,,,Y,Pioneer/Executive,
omallwa99,2008,Veterans,,,,Y,Pioneer/Executive,
southbi01,2008,Veterans,,,,Y,Manager,
willidi02,2008,Veterans,,,,Y,Manager,
henderi01,2009,BBWAA,539,405,511,Y,Player,
riceji01,2009,BBWAA,539,405,412,Y,Player,
gordojo01,2009,Veterans,,,,Y,Player,
dawsoan01,2010,BBWAA,539,405,420,Y,Player,
herzowh01,2010,Veterans,,,,Y,Manager,
harvedo99,2010,Veterans,,,,Y,Umpire,
alomaro01,2011,BBWAA,581,436,523,Y,Player,
blylebe01,2011,BBWAA,581,436,463,Y,Player,
gillipa99,2011,Veterans,,,,Y,Pioneer/Executive,
larkiba01,2012,BBWAA,573,430,495,Y,Player,
santoro01,2012,Veterans,,,,Y,Player,
ruperja99,2013,Veterans,,,,Y,Pioneer/Executive,
odayha01,2013,Veterans,,,,Y,Umpire,
whitede01,2013,Veterans,,,,Y,Player,
coxbo01,2014,Veterans,,,,Y,Manager,
larusto01,2014,Veterans,,,,Y,Manager,
torrejo01,2014,Veterans,,,,Y,Manager,
maddugr01,2014,BBWAA,571,429,555,Y,Player,
glavito02,2014,BBWAA,571,429,525,Y,Player,
thomafr04,2014,BBWAA,571,429,478,Y,Player,
johnsra05,2015,BBWAA,549,412,534,Y,Player,
martipe02,2015,BBWAA,549,412,500,Y,Player,
smoltjo01,2015,BBWAA,549,412,455,Y,Player,
biggicr01,2015,BBWAA,549,412,454,Y,Player,
griffke02,2016,BBWAA,440,330,437,Y,Player,
piazzmi01,2016,BBWAA,440,330,365,Y,Player,
bagweje01,2017,BBWAA,442,332,381,Y,Player,
raineti01,2017,BBWAA,442,332,380,Y,Player,
rodriiv01,2017,BBWAA,442,332,336,Y,Player,
seligbu99,2017,Veterans,,,,Y,Pioneer/Executive,
schurjo99,2017,Veterans,,,,Y,Pioneer/Executive,
jonesch06,2018,BBWAA,422,317,410,Y,Player,
guerrvl01,2018,BBWAA,422,317,392,Y,Player,
thomeji01,2018,BBWAA,422,317,379,Y,Player,
hoffmtr01,2018,BBWAA,422,317,337,Y,Player,
morrija02,2018,Veterans,,,,Y,Player,
trammal01,2018,Veterans,,,,Y,Player,
