year,category,winner,entity
1931,SHORT SUBJECT (Novelty),TRUE,Wrestling Swordfish
1931,SOUND RECORDING,TRUE,Paramount Publix Studio Sound Department
1931,WRITING (Adaptation),TRUE,Bad Girl
1931,WRITING (Original Story),TRUE,The Champ
1931,SPECIAL AWARD,TRUE,"To Walt Disney for the creation of ""Mickey Mouse."""
1931,SCIENTIFIC OR TECHNICAL AWARD (Class II),TRUE,To TECHNICOLOR MOTION PICTURE CORP. for its color cartoon process.
1931,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,To EASTMAN KODAK COMPANY for its Type II-B Sensitometer.
1932,ACTOR,TRUE,Charles Laughton
1932,ACTRESS,TRUE,Katharine Hepburn
1932,ART DIRECTION,TRUE,Cavalcade
1932,ASSISTANT DIRECTOR,TRUE,William Tummel (Fox)
1932,ASSISTANT DIRECTOR,TRUE,Charles Dorian (Metro-Goldwyn-Mayer)
1932,ASSISTANT DIRECTOR,TRUE,Charles Barton (Paramount)
1932,ASSISTANT DIRECTOR,TRUE,Dewey Starkey (RKO Radio)
1932,ASSISTANT DIRECTOR,TRUE,Fred Fox (United Artists)
1932,ASSISTANT DIRECTOR,TRUE,Scott Beal (Universal)
1932,ASSISTANT DIRECTOR,TRUE,Gordon Hollingshead (Warner Bros.)
1932,CINEMATOGRAPHY,TRUE,A Farewell to Arms
1932,DIRECTING,TRUE,Cavalcade
1932,OUTSTANDING PRODUCTION,TRUE,Cavalcade
1932,SHORT SUBJECT (Cartoon),TRUE,The Three Little Pigs
1932,SHORT SUBJECT (Comedy),TRUE,So This Is Harris
1932,SHORT SUBJECT (Novelty),TRUE,Krakatoa
1932,SOUND RECORDING,TRUE,A Farewell to Arms
1932,WRITING (Adaptation),TRUE,Little Women
1932,WRITING (Original Story),TRUE,One Way Passage
1932,SCIENTIFIC OR TECHNICAL AWARD (Class II),TRUE,"To ELECTRICAL RESEARCH PRODUCTS, INC. for their wide range recording and reporducing system."
1932,SCIENTIFIC OR TECHNICAL AWARD (Class II),TRUE,"To RCA-VICTOR COMPANY, INC. for their high-fidelity recording and reproducing system."
1932,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To FOX FILM CORPORATION, FRED JACKMAN and WARNER BROS. PICTURES, INC., and SIDNEY SANDERS of RKO Studios, Inc., for their development and effective use of the translucent cellulose screen in composite photography."
1934,ACTOR,TRUE,Clark Gable
1934,ACTRESS,TRUE,Claudette Colbert
1934,ART DIRECTION,TRUE,The Merry Widow
1934,ASSISTANT DIRECTOR,TRUE,Viva Villa!
1934,CINEMATOGRAPHY,TRUE,Cleopatra
1934,DIRECTING,TRUE,It Happened One Night
1934,FILM EDITING,TRUE,Eskimo
1934,MUSIC (Scoring),TRUE,One Night of Love
1934,MUSIC (Song),TRUE,The Gay Divorcee
1934,OUTSTANDING PRODUCTION,TRUE,It Happened One Night
1934,SHORT SUBJECT (Cartoon),TRUE,The Tortoise and the Hare
1934,SHORT SUBJECT (Comedy),TRUE,La Cucaracha
1934,SHORT SUBJECT (Novelty),TRUE,City of Wax
1934,SOUND RECORDING,TRUE,One Night of Love
1934,WRITING (Adaptation),TRUE,It Happened One Night
1934,WRITING (Original Story),TRUE,Manhattan Melodrama
1934,SPECIAL AWARD,TRUE,"To Shirley Temple, in grateful recognition of her outstanding contribution to screen entertainment during the year 1934."
1934,SCIENTIFIC OR TECHNICAL AWARD (Class II),TRUE,"To ELECTRICAL RESEARCH PRODUCTS, INC. for their development of the Vertical Cut Disc Method of recording sound for motion pictures (hill and dale recording)."
1934,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To COLUMBIA PICTURES CORPORATION for their application of the Vertical Cut Disc Method (hill and dale recording) to actual studio production, with their recording of the sound on the picture One Night of Love ."
1934,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,To BELL AND HOWELL COMPANY for their development of the Bell and Howell Fully Automatic Sound and Picture Printer.
1935,ACTOR,TRUE,Victor McLaglen
1935,ACTRESS,TRUE,Bette Davis
1935,ART DIRECTION,TRUE,The Dark Angel
1935,ASSISTANT DIRECTOR,TRUE,The Lives of a Bengal Lancer
1935,CINEMATOGRAPHY,TRUE,A Midsummer Night's Dream
1935,DANCE DIRECTION,TRUE,Dave Gould
1935,DIRECTING,TRUE,The Informer
1935,FILM EDITING,TRUE,A Midsummer Night's Dream
1935,MUSIC (Scoring),TRUE,The Informer
1935,MUSIC (Song),TRUE,Gold Diggers of 1935
1935,OUTSTANDING PRODUCTION,TRUE,Mutiny on the Bounty
1935,SHORT SUBJECT (Cartoon),TRUE,Three Orphan Kittens
1935,SHORT SUBJECT (Comedy),TRUE,How to Sleep
1935,SHORT SUBJECT (Novelty),TRUE,Wings over Mt. Everest
1935,SOUND RECORDING,TRUE,Naughty Marietta
1935,WRITING (Original Story),TRUE,The Scoundrel
1935,WRITING (Screenplay),TRUE,The Informer
1935,SPECIAL AWARD,TRUE,"To David Wark Griffith, for his distinguished creative achievements as director and producer and his invaluable initiative and lasting contributions to the progress of the motion picture arts."
1935,SCIENTIFIC OR TECHNICAL AWARD (Class II),TRUE,To AGFA ANSCO CORPORATION for their development of the Agfa infra-red film.
1935,SCIENTIFIC OR TECHNICAL AWARD (Class II),TRUE,To EASTMAN KODAK COMPANY for their development of the Eastman Pola-Screen.
1935,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To METRO-GOLDWYN-MAYER STUDIO for the development of anti-directional negative and positive development by means of jet turbulation, and the application of the method to all negative and print processing of the entire product of a major producing company."
1935,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To WILLIAM A. MUELLER of Warner Bros.-First National Studio Sound Department for his method of dubbing, in which the level of the dialogue automatically controls the level of the accompanying music and sound effects."
1935,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To MOLE-RICHARDSON COMPANY for their development of the ""Solar-spot"" spot lamps."
1935,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,To DOUGLAS SHEARER and METRO-GOLDWYN-MAYER STUDIO SOUND DEPARTMENT for their automatic control system for cameras and sound recording machines and auxiliary stage equipment.
1935,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To ELECTRICAL RESEARCH PRODUCTS, INC. for their study and development of equipment to analyze and measure flutter resulting from the travel of the film through the mechanisms used in the recording and reproduction of sound."
1935,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To PARAMOUNT PRODUCTIONS, INC. for the design and construction of the Paramount transparency air turbine developing machine."
1935,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To NATHAN LEVINSON, Director of Sound Recording for Warner Bros.-First National Studio, for the method of intercutting variable density and variable area sound tracks to secure an increase in the effective volume range of sound recorded for motion pictures."
1936,ACTOR,TRUE,Paul Muni
1936,ACTOR IN A SUPPORTING ROLE,TRUE,Walter Brennan
1936,ACTRESS,TRUE,Luise Rainer
1936,ACTRESS IN A SUPPORTING ROLE,TRUE,Gale Sondergaard
1936,ART DIRECTION,TRUE,Dodsworth
1936,ASSISTANT DIRECTOR,TRUE,The Charge of the Light Brigade
1936,CINEMATOGRAPHY,TRUE,Anthony Adverse
1936,DANCE DIRECTION,TRUE,Seymour Felix
1936,DIRECTING,TRUE,Mr. Deeds Goes to Town
1936,FILM EDITING,TRUE,Anthony Adverse
1936,MUSIC (Scoring),TRUE,Anthony Adverse
1936,MUSIC (Song),TRUE,Swing Time
1936,OUTSTANDING PRODUCTION,TRUE,The Great Ziegfeld
1936,SHORT SUBJECT (Cartoon),TRUE,The Country Cousin
1936,SHORT SUBJECT (Color),TRUE,Give Me Liberty
1936,SHORT SUBJECT (One-reel),TRUE,Bored of Education
1936,SHORT SUBJECT (Two-reel),TRUE,The Public Pays
1936,SOUND RECORDING,TRUE,San Francisco
1936,WRITING (Original Story),TRUE,The Story of Louis Pasteur
1936,WRITING (Screenplay),TRUE,The Story of Louis Pasteur
1936,SPECIAL AWARD,TRUE,To The March of Time for its significance to motion pictures and for having revolutionized one of the most important branches of the industry - the newsreel.
1936,SPECIAL AWARD,TRUE,"To W. Howard Greene and Harold Rosson for the color cinematography of the Selznick International Production, The Garden of Allah ."
1936,SCIENTIFIC OR TECHNICAL AWARD (Class I),TRUE,To DOUGLAS SHEARER and the METRO-GOLDWYN-MAYER STUDIO SOUND DEPARTMENT for the development of a practical two-way horn system and a biased Class A push-pull recording system.
1936,SCIENTIFIC OR TECHNICAL AWARD (Class II),TRUE,To E. C. WENTE and the BELL TELEPHONE LABORATORIES for their multi-cellular high-frequency horn and receiver.
1936,SCIENTIFIC OR TECHNICAL AWARD (Class II),TRUE,"To RCA MANUFACTURING CO., INC., for their rotary stabilizer sound head."
1936,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To RCA MANUFACTURING CO., INC., for their development of a method of recording and printing sound records utilizing a restricted spectrum (known as ultra-violet light recording)."
1936,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To ELECTRICAL RESEARCH PRODUCTS, INC. for the ERPI ""Type Q"" portable recording channel."
1936,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To RCA MANUFACTURING CO., INC., for furnishing a practical design and specifications for a non-slip printer."
1936,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To UNITED ARTISTS STUDIO CORP. for the development of a practical, efficient and quiet wind machine."
1937,ACTOR,TRUE,Spencer Tracy
1937,ACTOR IN A SUPPORTING ROLE,TRUE,Joseph Schildkraut
1937,ACTRESS,TRUE,Luise Rainer
1937,ACTRESS IN A SUPPORTING ROLE,TRUE,Alice Brady
1937,ART DIRECTION,TRUE,Lost Horizon
1937,ASSISTANT DIRECTOR,TRUE,In Old Chicago
1937,CINEMATOGRAPHY,TRUE,The Good Earth
1937,DANCE DIRECTION,TRUE,Hermes Pan
1937,DIRECTING,TRUE,The Awful Truth
1937,FILM EDITING,TRUE,Lost Horizon
1937,MUSIC (Scoring),TRUE,One Hundred Men and a Girl
1937,MUSIC (Song),TRUE,Waikiki Wedding
1937,OUTSTANDING PRODUCTION,TRUE,The Life of Emile Zola
1937,SHORT SUBJECT (Cartoon),TRUE,The Old Mill
1937,SHORT SUBJECT (Color),TRUE,Penny Wisdom
1937,SHORT SUBJECT (One-reel),TRUE,The Private Life of the Gannets
1937,SHORT SUBJECT (Two-reel),TRUE,Torture Money
1937,SOUND RECORDING,TRUE,The Hurricane
1937,WRITING (Original Story),TRUE,A Star Is Born
1937,WRITING (Screenplay),TRUE,The Life of Emile Zola
1937,SPECIAL AWARD,TRUE,"To Mack Sennett, ""for his lasting contribution to the comedy technique of the screen, the basic principles of which are as important today as when they were first put into practice, the Academy presents a Special Award to that master of fun, discoverer of stars, sympathetic, kindly, understanding comedy genius - Mack Sennett."""
1937,SPECIAL AWARD,TRUE,"To Edgar Bergen for his outstanding comedy creation, ""Charlie McCarthy."""
1937,SPECIAL AWARD,TRUE,To The Museum of Modern Art Film Library for its significant work in collecting films dating from 1895 to the present and for the first time making available to the public the means of studying the historical and aesthetic development of the motion picture as one of the major arts.
1937,SPECIAL AWARD,TRUE,To W. Howard Greene for the color photography of A Star Is Born .  (This Award was recommended by a committee of leading cinematographers after viewing all the color pictures made during the year.)
1937,IRVING G. THALBERG MEMORIAL AWARD,TRUE,Darryl F. Zanuck
1937,SCIENTIFIC OR TECHNICAL AWARD (Class I),TRUE,To AGFA ANSCO CORPORATION for Agfa Supreme and Agfa Ultra Speed pan motion picture negatives.
1937,SCIENTIFIC OR TECHNICAL AWARD (Class II),TRUE,"To WALT DISNEY PRODUCTIONS, LTD. for the design and application to production of the Multi-Plane Camera."
1937,SCIENTIFIC OR TECHNICAL AWARD (Class II),TRUE,To EASTMAN KODAK COMPANY for two fine-grain duplicating film stocks.
1937,SCIENTIFIC OR TECHNICAL AWARD (Class II),TRUE,"To FARCIOT EDOUART and PARAMOUNT PICTURES, INC. for the development of the Paramount dual screen transparency camera setup."
1937,SCIENTIFIC OR TECHNICAL AWARD (Class II),TRUE,To DOUGLAS SHEARER and the METRO-GOLDWYN-MAYER STUDIO SOUND DEPARTMENT for a method of varying the scanning width of variable density sound tracks (squeeze tracks) for the purpose of obtaining an increased amount of noise reduction.
1937,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,To JOHN ARNOLD and the METRO-GOLDWYN-MAYER STUDIO CAMERA DEPARTMENT for their improvement of the semi-automatic follow focus device and its application to all of the cameras used by the Metro-Goldwyn-Mayer Studio.
1937,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To JOHN LIVADARY, Director of Sound Recording for Columbia Pictures Corporation, for the application of the bi-planar light valve to motion picture sound recording."
1937,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,To THOMAS T. MOULTON and the UNITED ARTISTS STUDIO SOUND DEPARTMENT for the application to motion picture sound recording of volume indicators which have peak reading response and linear decibel scales.
1937,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To RCA MANUFACTURING CO., INC. for the introduction of the modulated high-frequency method of determining optimum photographic processing conditions for variable width sound tracks."
1937,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To JOSEPH E. ROBBINS and PARAMOUNT PICTURES, INC. for an exceptional application of acoustic principles to the sound proofing of gasoline generators and water pumps."
1937,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,To DOUGLAS SHEARER and the METRO-GOLDWYN-MAYER STUDIO SOUND DEPARTMENT for the design of the film drive mechanism as incorporated in the ERPI 1010 reproducer.
1938,ACTOR,TRUE,Spencer Tracy
1938,ACTOR IN A SUPPORTING ROLE,TRUE,Walter Brennan
1938,ACTRESS,TRUE,Bette Davis
1938,ACTRESS IN A SUPPORTING ROLE,TRUE,Fay Bainter
1938,ART DIRECTION,TRUE,The Adventures of Robin Hood
1938,CINEMATOGRAPHY,TRUE,The Great Waltz
1938,DIRECTING,TRUE,You Can't Take It with You
1938,FILM EDITING,TRUE,The Adventures of Robin Hood
1938,MUSIC (Original Score),TRUE,The Adventures of Robin Hood
1938,MUSIC (Scoring),TRUE,Alexander's Ragtime Band
1938,MUSIC (Song),TRUE,The Big Broadcast of 1938
1938,OUTSTANDING PRODUCTION,TRUE,You Can't Take It with You
1938,SHORT SUBJECT (Cartoon),TRUE,Ferdinand the Bull
1938,SHORT SUBJECT (One-reel),TRUE,That Mothers Might Live
1938,SHORT SUBJECT (Two-reel),TRUE,Declaration of Independence
1938,SOUND RECORDING,TRUE,The Cowboy and the Lady
1938,WRITING (Original Story),TRUE,Boys Town
1938,WRITING (Screenplay),TRUE,Pygmalion
1938,SPECIAL AWARD,TRUE,"To Deanna Durbin and Mickey Rooney for their significant contribution in bringing to the screen the spirit and personification of youth, and as juvenile players setting a high standard of ability and achievement."
1938,SPECIAL AWARD,TRUE,To Harry M. Warner in recognition of patriotic service in the production of historical short subjects presenting significant episodes in the early struggle of the American people for liberty.
1938,SPECIAL AWARD,TRUE,"To Walt Disney for Snow White and the Seven Dwarfs , recognized as a significant screen innovation which has charmed millions and pioneered a great new entertainment field for the motion picture cartoon."
1938,SPECIAL AWARD,TRUE,"To Oliver Marsh and Allen Davey for the color cinematography of the Metro-Goldwyn-Mayer production, Sweethearts ."
1938,SPECIAL AWARD,TRUE,"For outstanding achievement in creating Special Photographic and Sound Effects in the Paramount production, Spawn of the North .  Special Effects by Gordon Jennings, assisted by Jan Domela, Dev Jennings, Irmin Roberts and Art Smith.  Transparencies by Farciot Edouart, assisted by Loyal Griggs.  Sound Effects by Loren Ryder, assisted by Harry Mills, Louis H. Mesenkop and Walter Oberst."
1938,SPECIAL AWARD,TRUE,To J. Arthur Ball for his outstanding contributions to the advancement of color in Motion Picture Photography.
1938,IRVING G. THALBERG MEMORIAL AWARD,TRUE,Hal B. Wallis
1938,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,To JOHN AALBERG and the RKO RADIO STUDIO SOUND DEPARTMENT for the application of compression to variable area recording in motion picture production.
1938,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,To BYRON HASKIN and the SPECIAL EFFECTS DEPARTMENT OF WARNER BROS. STUDIO for pioneering the development and for the first practical application to motion picture production of the triple head background projector.
1939,ACTOR,TRUE,Robert Donat
1939,ACTOR IN A SUPPORTING ROLE,TRUE,Thomas Mitchell
1939,ACTRESS,TRUE,Vivien Leigh
1939,ACTRESS IN A SUPPORTING ROLE,TRUE,Hattie McDaniel
1939,ART DIRECTION,TRUE,Gone with the Wind
1939,CINEMATOGRAPHY (Black-and-White),TRUE,Wuthering Heights
1939,CINEMATOGRAPHY (Color),TRUE,Gone with the Wind
1939,DIRECTING,TRUE,Gone with the Wind
1939,FILM EDITING,TRUE,Gone with the Wind
1939,MUSIC (Original Score),TRUE,The Wizard of Oz
1939,MUSIC (Scoring),TRUE,Stagecoach
1939,MUSIC (Song),TRUE,The Wizard of Oz
1939,OUTSTANDING PRODUCTION,TRUE,Gone with the Wind
1939,SHORT SUBJECT (Cartoon),TRUE,The Ugly Duckling
1939,SHORT SUBJECT (One-reel),TRUE,Busy Little Bears
1939,SHORT SUBJECT (Two-reel),TRUE,Sons of Liberty
1939,SOUND RECORDING,TRUE,When Tomorrow Comes
1939,SPECIAL EFFECTS,TRUE,The Rains Came
1939,WRITING (Original Story),TRUE,Mr. Smith Goes to Washington
1939,WRITING (Screenplay),TRUE,Gone with the Wind
1939,SPECIAL AWARD,TRUE,"To Douglas Fairbanks (Commemorative Award) - recognizing the unique and outstanding contribution of Douglas Fairbanks, first President of the Academy, to the international development of the motion picture."
1939,SPECIAL AWARD,TRUE,"To The Motion Picture Relief Fund - acknowledging the outstanding services to the industry during the past year of the Motion Picture Relief Fund and its progressive leadership.  Presented to Jean Hersholt, President; Ralph Morgan, Chairman of the Executive Committee; Ralph Block, First Vice-President; and Conrad Nagel."
1939,SPECIAL AWARD,TRUE,To Judy Garland for her outstanding performance as a screen juvenile during the past year.
1939,SPECIAL AWARD,TRUE,To William Cameron Menzies for outstanding achievement in the use of color for the enhancement of dramatic mood in the production of Gone with the Wind .
1939,SPECIAL AWARD,TRUE,To the Technicolor Company for its contributions in successfully bringing three-color feature production to the screen.
1939,IRVING G. THALBERG MEMORIAL AWARD,TRUE,David O. Selznick
1939,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,To GEORGE ANDERSON of Warner Bros. Studio for an improved positive head for sun arcs.
1939,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,To JOHN ARNOLD of Metro-Goldwyn-Mayer Studio for the M-G-M mobile camera crane.
1939,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To THOMAS T. MOULTON, FRED ALBIN and the SOUND DEPARTMENT OF THE SAMUEL GOLDWYN STUDIO for the origination and application of the Delta db test to sound recording in motion pictures."
1939,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To FARCIOT EDOUART, JOSEPH E. ROBBINS, WILLIAM RUDOLPH and PARAMOUNT PICTURES, INC. for the design and construction of a quiet portable treadmill."
1939,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,To EMERY HUSE and RALPH B. ATKINSON of the Eastman Kodak Company for their specifications for chemical analysis of photographic developers and fixing baths.
1939,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,To HAROLD NYE of Warner Bros. Studio for a miniature incandescent spot lamp.
1939,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,To A. J. TONDREAU of Warner Bros. Studio for the design and manufacture of an improved sound track printer.
1939,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"For important contributions in cooperative development of new improved Process Projection Equipment:  F. R. ABBOTT, HALLER BELT, ALAN COOK and the BAUSCH & LOMB OPTICAL COMPANY for faster projection lenses;  The MITCHELL CAMERA COMPANY for a new type process projection head;  MOLE-RICHARDSON COMPANY for a new type automatically controlled projection arc lamp;  CHARLES HANDLEY, DAVID JOY and the NATIONAL CARBON COMPANY for improved and more stable high-intensity carbons;  WINTON HOCH and the TECHNICOLOR MOTION PICTURE CORP. for an auxiliary optical system;  DON MUSGRAVE and SELZNICK INTERNATIONAL PICTURES, INC. for pioneering in the use of coordinated equipment in the production, Gone with the Wind ."
1940,ACTOR,TRUE,James Stewart
1940,ACTOR IN A SUPPORTING ROLE,TRUE,Walter Brennan
1940,ACTRESS,TRUE,Ginger Rogers
1940,ACTRESS IN A SUPPORTING ROLE,TRUE,Jane Darwell
1940,ART DIRECTION (Black-and-White),TRUE,Pride and Prejudice
1940,ART DIRECTION (Color),TRUE,The Thief of Bagdad
1940,CINEMATOGRAPHY (Black-and-White),TRUE,Rebecca
1940,CINEMATOGRAPHY (Color),TRUE,The Thief of Bagdad
1940,DIRECTING,TRUE,The Grapes of Wrath
1940,FILM EDITING,TRUE,North West Mounted Police
1940,MUSIC (Original Score),TRUE,Pinocchio
1940,MUSIC (Scoring),TRUE,Tin Pan Alley
1940,MUSIC (Song),TRUE,Pinocchio
1940,OUTSTANDING PRODUCTION,TRUE,Rebecca
1940,SHORT SUBJECT (Cartoon),TRUE,The Milky Way
1940,SHORT SUBJECT (One-reel),TRUE,Quicker 'N a Wink
1940,SHORT SUBJECT (Two-reel),TRUE,"Teddy, the Rough Rider"
1940,SOUND RECORDING,TRUE,Strike Up the Band
1940,SPECIAL EFFECTS,TRUE,The Thief of Bagdad
1940,WRITING (Original Screenplay),TRUE,The Great McGinty
1940,WRITING (Original Story),TRUE,"Arise, My Love"
1940,WRITING (Screenplay),TRUE,The Philadelphia Story
1940,SPECIAL AWARD,TRUE,"To Bob Hope, in recognition of his unselfish services to the Motion Picture Industry."
1940,SPECIAL AWARD,TRUE,"To Colonel Nathan Levinson for his outstanding service to the industry and the Army during the past nine years, which has made possible the present efficient mobilization of the motion picture industry facilities for the production of Army Training Films."
1940,SCIENTIFIC OR TECHNICAL AWARD (Class I),TRUE,"To 20TH CENTURY-FOX FILM CORP. for the design and construction of the 20th Century Silenced Camera, developed by DANIEL CLARK, GROVER LAUBE, CHARLES MILLER and ROBERT W. STEVENS."
1940,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,To WARNER BROS. STUDIO ART DEPARTMENT and ANTON GROT for the design and perfection of the Warner Bros. water ripple and wave illusion machine.
1941,ACTOR,TRUE,Gary Cooper
1941,ACTOR IN A SUPPORTING ROLE,TRUE,Donald Crisp
1941,ACTRESS,TRUE,Joan Fontaine
1941,ACTRESS IN A SUPPORTING ROLE,TRUE,Mary Astor
1941,ART DIRECTION (Black-and-White),TRUE,How Green Was My Valley
1941,ART DIRECTION (Color),TRUE,Blossoms in the Dust
1941,CINEMATOGRAPHY (Black-and-White),TRUE,How Green Was My Valley
1941,CINEMATOGRAPHY (Color),TRUE,Blood and Sand
1941,DIRECTING,TRUE,How Green Was My Valley
1941,DOCUMENTARY (Short Subject),TRUE,Churchill's Island
1941,FILM EDITING,TRUE,Sergeant York
1941,MUSIC (Music Score of a Dramatic Picture),TRUE,All That Money Can Buy
1941,MUSIC (Scoring of a Musical Picture),TRUE,Dumbo
1941,MUSIC (Song),TRUE,Lady Be Good
1941,OUTSTANDING MOTION PICTURE,TRUE,How Green Was My Valley
1941,SHORT SUBJECT (Cartoon),TRUE,Lend a Paw
1941,SHORT SUBJECT (One-reel),TRUE,Of Pups and Puzzles
1941,SHORT SUBJECT (Two-reel),TRUE,Main Street on the March!
1941,SOUND RECORDING,TRUE,That Hamilton Woman
1941,SPECIAL EFFECTS,TRUE,I Wanted Wings
1941,WRITING (Original Screenplay),TRUE,Citizen Kane
1941,WRITING (Original Story),TRUE,Here Comes Mr. Jordan
1941,WRITING (Screenplay),TRUE,Here Comes Mr. Jordan
1941,SPECIAL AWARD,TRUE,"To Rey Scott for his extraordinary achievement in producing Kukan , the film record of China's struggle, including its photography with a 16mm camera under the most difficult and dangerous conditions."
1941,SPECIAL AWARD,TRUE,"To The British Ministry of Information for its vivid and dramatic presentation of the heroism of the RAF in the documentary film, Target for Tonight ."
1941,SPECIAL AWARD,TRUE,"To Leopold Stokowski and his associates for their unique achievement in the creation of a new form of visualized music in Walt Disney's production, Fantasia , thereby widening the scope of the motion picture as entertainment and as an art form."
